STATISTIC,Quarter,Nationality,ILO Economic Status,value
Persons aged 15 years and over,2017Q2,All nationalities,All ILO economic status,3800.5
Persons aged 15 years and over,2017Q2,All nationalities,In labour force,2348.2
Persons aged 15 years and over,2017Q2,All nationalities,In employment,2187.4
Persons aged 15 years and over,2017Q2,All nationalities,Unemployed,160.8
Persons aged 15 years and over,2017Q2,All nationalities,Not in labour force,1452.3
Persons aged 15 years and over,2017Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,64.2
Persons aged 15 years and over,2017Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,52.5
Persons aged 15 years and over,2017Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,50.7
Persons aged 15 years and over,2017Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2017Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,11.7
Persons aged 15 years and over,2017Q2,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,209.2
Persons aged 15 years and over,2017Q2,EU15 to EU27 (accession countries joined post 2004),In labour force,166.2
Persons aged 15 years and over,2017Q2,EU15 to EU27 (accession countries joined post 2004),In employment,154.2
Persons aged 15 years and over,2017Q2,EU15 to EU27 (accession countries joined post 2004),Unemployed,12.1
Persons aged 15 years and over,2017Q2,EU15 to EU27 (accession countries joined post 2004),Not in labour force,42.9
Persons aged 15 years and over,2017Q2,UK,All ILO economic status,97.4
Persons aged 15 years and over,2017Q2,UK,In labour force,57.3
Persons aged 15 years and over,2017Q2,UK,In employment,53.5
Persons aged 15 years and over,2017Q2,UK,Unemployed,
Persons aged 15 years and over,2017Q2,UK,Not in labour force,40.1
Persons aged 15 years and over,2017Q2,Irish,All ILO economic status,3301.2
Persons aged 15 years and over,2017Q2,Irish,In labour force,1990.3
Persons aged 15 years and over,2017Q2,Irish,In employment,1854.5
Persons aged 15 years and over,2017Q2,Irish,Unemployed,135.8
Persons aged 15 years and over,2017Q2,Irish,Not in labour force,1310.9
Persons aged 15 years and over,2017Q2,Non-Irish,All ILO economic status,499.3
Persons aged 15 years and over,2017Q2,Non-Irish,In labour force,357.9
Persons aged 15 years and over,2017Q2,Non-Irish,In employment,332.9
Persons aged 15 years and over,2017Q2,Non-Irish,Unemployed,25.0
Persons aged 15 years and over,2017Q2,Non-Irish,Not in labour force,141.4
Persons aged 15 years and over,2017Q2,Other nationalities (7),All ILO economic status,128.5
Persons aged 15 years and over,2017Q2,Other nationalities (7),In labour force,81.8
Persons aged 15 years and over,2017Q2,Other nationalities (7),In employment,74.5
Persons aged 15 years and over,2017Q2,Other nationalities (7),Unemployed,7.3
Persons aged 15 years and over,2017Q2,Other nationalities (7),Not in labour force,46.7
Persons aged 15 years and over,2017Q3,All nationalities,All ILO economic status,3814.9
Persons aged 15 years and over,2017Q3,All nationalities,In labour force,2376.7
Persons aged 15 years and over,2017Q3,All nationalities,In employment,2212.3
Persons aged 15 years and over,2017Q3,All nationalities,Unemployed,164.4
Persons aged 15 years and over,2017Q3,All nationalities,Not in labour force,1438.2
Persons aged 15 years and over,2017Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,65.3
Persons aged 15 years and over,2017Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,52.6
Persons aged 15 years and over,2017Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,51.0
Persons aged 15 years and over,2017Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2017Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,12.8
Persons aged 15 years and over,2017Q3,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,209.9
Persons aged 15 years and over,2017Q3,EU15 to EU27 (accession countries joined post 2004),In labour force,171.3
Persons aged 15 years and over,2017Q3,EU15 to EU27 (accession countries joined post 2004),In employment,156.9
Persons aged 15 years and over,2017Q3,EU15 to EU27 (accession countries joined post 2004),Unemployed,14.4
Persons aged 15 years and over,2017Q3,EU15 to EU27 (accession countries joined post 2004),Not in labour force,38.5
Persons aged 15 years and over,2017Q3,UK,All ILO economic status,97.6
Persons aged 15 years and over,2017Q3,UK,In labour force,55.9
Persons aged 15 years and over,2017Q3,UK,In employment,50.7
Persons aged 15 years and over,2017Q3,UK,Unemployed,
Persons aged 15 years and over,2017Q3,UK,Not in labour force,41.6
Persons aged 15 years and over,2017Q3,Irish,All ILO economic status,3311.7
Persons aged 15 years and over,2017Q3,Irish,In labour force,2007.0
Persons aged 15 years and over,2017Q3,Irish,In employment,1872.2
Persons aged 15 years and over,2017Q3,Irish,Unemployed,134.8
Persons aged 15 years and over,2017Q3,Irish,Not in labour force,1304.7
Persons aged 15 years and over,2017Q3,Non-Irish,All ILO economic status,503.2
Persons aged 15 years and over,2017Q3,Non-Irish,In labour force,369.7
Persons aged 15 years and over,2017Q3,Non-Irish,In employment,340.1
Persons aged 15 years and over,2017Q3,Non-Irish,Unemployed,29.6
Persons aged 15 years and over,2017Q3,Non-Irish,Not in labour force,133.5
Persons aged 15 years and over,2017Q3,Other nationalities (7),All ILO economic status,130.5
Persons aged 15 years and over,2017Q3,Other nationalities (7),In labour force,89.9
Persons aged 15 years and over,2017Q3,Other nationalities (7),In employment,81.5
Persons aged 15 years and over,2017Q3,Other nationalities (7),Unemployed,
Persons aged 15 years and over,2017Q3,Other nationalities (7),Not in labour force,40.6
Persons aged 15 years and over,2017Q4,All nationalities,All ILO economic status,3836.1
Persons aged 15 years and over,2017Q4,All nationalities,In labour force,2379.7
Persons aged 15 years and over,2017Q4,All nationalities,In employment,2234.7
Persons aged 15 years and over,2017Q4,All nationalities,Unemployed,145.0
Persons aged 15 years and over,2017Q4,All nationalities,Not in labour force,1456.4
Persons aged 15 years and over,2017Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,67.2
Persons aged 15 years and over,2017Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,55.3
Persons aged 15 years and over,2017Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,52.9
Persons aged 15 years and over,2017Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2017Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,11.9
Persons aged 15 years and over,2017Q4,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,209.7
Persons aged 15 years and over,2017Q4,EU15 to EU27 (accession countries joined post 2004),In labour force,169.5
Persons aged 15 years and over,2017Q4,EU15 to EU27 (accession countries joined post 2004),In employment,157.4
Persons aged 15 years and over,2017Q4,EU15 to EU27 (accession countries joined post 2004),Unemployed,12.1
Persons aged 15 years and over,2017Q4,EU15 to EU27 (accession countries joined post 2004),Not in labour force,40.2
Persons aged 15 years and over,2017Q4,UK,All ILO economic status,97.9
Persons aged 15 years and over,2017Q4,UK,In labour force,57.5
Persons aged 15 years and over,2017Q4,UK,In employment,51.1
Persons aged 15 years and over,2017Q4,UK,Unemployed,6.4
Persons aged 15 years and over,2017Q4,UK,Not in labour force,40.4
Persons aged 15 years and over,2017Q4,Irish,All ILO economic status,3322.5
Persons aged 15 years and over,2017Q4,Irish,In labour force,2006.9
Persons aged 15 years and over,2017Q4,Irish,In employment,1890.4
Persons aged 15 years and over,2017Q4,Irish,Unemployed,116.6
Persons aged 15 years and over,2017Q4,Irish,Not in labour force,1315.6
Persons aged 15 years and over,2017Q4,Non-Irish,All ILO economic status,513.5
Persons aged 15 years and over,2017Q4,Non-Irish,In labour force,372.8
Persons aged 15 years and over,2017Q4,Non-Irish,In employment,344.4
Persons aged 15 years and over,2017Q4,Non-Irish,Unemployed,28.4
Persons aged 15 years and over,2017Q4,Non-Irish,Not in labour force,140.8
Persons aged 15 years and over,2017Q4,Other nationalities (7),All ILO economic status,138.8
Persons aged 15 years and over,2017Q4,Other nationalities (7),In labour force,90.5
Persons aged 15 years and over,2017Q4,Other nationalities (7),In employment,82.9
Persons aged 15 years and over,2017Q4,Other nationalities (7),Unemployed,
Persons aged 15 years and over,2017Q4,Other nationalities (7),Not in labour force,48.3
Persons aged 15 years and over,2018Q1,All nationalities,All ILO economic status,3843.4
Persons aged 15 years and over,2018Q1,All nationalities,In labour force,2359.4
Persons aged 15 years and over,2018Q1,All nationalities,In employment,2225.3
Persons aged 15 years and over,2018Q1,All nationalities,Unemployed,134.1
Persons aged 15 years and over,2018Q1,All nationalities,Not in labour force,1484.0
Persons aged 15 years and over,2018Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,66.8
Persons aged 15 years and over,2018Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,57.0
Persons aged 15 years and over,2018Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,54.1
Persons aged 15 years and over,2018Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2018Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,9.8
Persons aged 15 years and over,2018Q1,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,211.2
Persons aged 15 years and over,2018Q1,EU15 to EU27 (accession countries joined post 2004),In labour force,168.8
Persons aged 15 years and over,2018Q1,EU15 to EU27 (accession countries joined post 2004),In employment,156.5
Persons aged 15 years and over,2018Q1,EU15 to EU27 (accession countries joined post 2004),Unemployed,12.3
Persons aged 15 years and over,2018Q1,EU15 to EU27 (accession countries joined post 2004),Not in labour force,42.3
Persons aged 15 years and over,2018Q1,UK,All ILO economic status,97.8
Persons aged 15 years and over,2018Q1,UK,In labour force,56.6
Persons aged 15 years and over,2018Q1,UK,In employment,51.7
Persons aged 15 years and over,2018Q1,UK,Unemployed,
Persons aged 15 years and over,2018Q1,UK,Not in labour force,41.3
Persons aged 15 years and over,2018Q1,Irish,All ILO economic status,3327.8
Persons aged 15 years and over,2018Q1,Irish,In labour force,1978.5
Persons aged 15 years and over,2018Q1,Irish,In employment,1873.9
Persons aged 15 years and over,2018Q1,Irish,Unemployed,104.7
Persons aged 15 years and over,2018Q1,Irish,Not in labour force,1349.2
Persons aged 15 years and over,2018Q1,Non-Irish,All ILO economic status,515.6
Persons aged 15 years and over,2018Q1,Non-Irish,In labour force,380.9
Persons aged 15 years and over,2018Q1,Non-Irish,In employment,351.5
Persons aged 15 years and over,2018Q1,Non-Irish,Unemployed,29.4
Persons aged 15 years and over,2018Q1,Non-Irish,Not in labour force,134.8
Persons aged 15 years and over,2018Q1,Other nationalities (7),All ILO economic status,139.9
Persons aged 15 years and over,2018Q1,Other nationalities (7),In labour force,98.5
Persons aged 15 years and over,2018Q1,Other nationalities (7),In employment,89.2
Persons aged 15 years and over,2018Q1,Other nationalities (7),Unemployed,9.3
Persons aged 15 years and over,2018Q1,Other nationalities (7),Not in labour force,41.4
Persons aged 15 years and over,2018Q2,All nationalities,All ILO economic status,3870.5
Persons aged 15 years and over,2018Q2,All nationalities,In labour force,2407.5
Persons aged 15 years and over,2018Q2,All nationalities,In employment,2261.7
Persons aged 15 years and over,2018Q2,All nationalities,Unemployed,145.9
Persons aged 15 years and over,2018Q2,All nationalities,Not in labour force,1462.9
Persons aged 15 years and over,2018Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,68.7
Persons aged 15 years and over,2018Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,58.8
Persons aged 15 years and over,2018Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,56.6
Persons aged 15 years and over,2018Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2018Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,9.9
Persons aged 15 years and over,2018Q2,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,209.8
Persons aged 15 years and over,2018Q2,EU15 to EU27 (accession countries joined post 2004),In labour force,169.3
Persons aged 15 years and over,2018Q2,EU15 to EU27 (accession countries joined post 2004),In employment,155.8
Persons aged 15 years and over,2018Q2,EU15 to EU27 (accession countries joined post 2004),Unemployed,13.5
Persons aged 15 years and over,2018Q2,EU15 to EU27 (accession countries joined post 2004),Not in labour force,40.6
Persons aged 15 years and over,2018Q2,UK,All ILO economic status,97.2
Persons aged 15 years and over,2018Q2,UK,In labour force,58.4
Persons aged 15 years and over,2018Q2,UK,In employment,55.1
Persons aged 15 years and over,2018Q2,UK,Unemployed,
Persons aged 15 years and over,2018Q2,UK,Not in labour force,38.7
Persons aged 15 years and over,2018Q2,Irish,All ILO economic status,3345.5
Persons aged 15 years and over,2018Q2,Irish,In labour force,2017.7
Persons aged 15 years and over,2018Q2,Irish,In employment,1898.1
Persons aged 15 years and over,2018Q2,Irish,Unemployed,119.6
Persons aged 15 years and over,2018Q2,Irish,Not in labour force,1327.8
Persons aged 15 years and over,2018Q2,Non-Irish,All ILO economic status,525.0
Persons aged 15 years and over,2018Q2,Non-Irish,In labour force,389.8
Persons aged 15 years and over,2018Q2,Non-Irish,In employment,363.5
Persons aged 15 years and over,2018Q2,Non-Irish,Unemployed,26.2
Persons aged 15 years and over,2018Q2,Non-Irish,Not in labour force,135.2
Persons aged 15 years and over,2018Q2,Other nationalities (7),All ILO economic status,149.2
Persons aged 15 years and over,2018Q2,Other nationalities (7),In labour force,103.2
