Statistic,Quarter,NACE Rev 2 Economic Sector,value
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q2,Construction (F),40.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),32.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q2,Transportation and storage (H),38.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q2,Accommodation and food service activities (I),29.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q2,Information and communication (J),39.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q2,"Professional, scientific and technical activities (M)",38.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q2,Administrative and support service activities (N),34.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q2,Public administration and defence; compulsory social security (O),37.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q2,Education (P),30.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q2,Human health and social work activities (Q),33.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q2,Industry (B to E),39.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q2,"Financial, insurance and real estate activities (K, L)",38.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q2,Other NACE activities (R to U),30.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q2,Industry and Construction (B to F),39.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q2,Services (G to U),34.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q2,Not stated,36.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q3,All NACE economic sectors,35.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q3,"Agriculture, forestry and fishing (A)",45.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q3,Construction (F),40.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),32.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q3,Transportation and storage (H),38.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q3,Accommodation and food service activities (I),29.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q3,Information and communication (J),39.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q3,"Professional, scientific and technical activities (M)",37.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q3,Administrative and support service activities (N),34.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q3,Public administration and defence; compulsory social security (O),37.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q3,Education (P),30.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q3,Human health and social work activities (Q),33.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q3,Industry (B to E),39.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q3,"Financial, insurance and real estate activities (K, L)",38.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q3,Other NACE activities (R to U),30.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q3,Industry and Construction (B to F),39.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q3,Services (G to U),34.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q3,Not stated,34.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q4,All NACE economic sectors,35.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q4,"Agriculture, forestry and fishing (A)",42.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q4,Construction (F),40.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),31.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q4,Transportation and storage (H),38.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q4,Accommodation and food service activities (I),29.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q4,Information and communication (J),39.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q4,"Professional, scientific and technical activities (M)",38.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q4,Administrative and support service activities (N),33.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q4,Public administration and defence; compulsory social security (O),37.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q4,Education (P),29.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q4,Human health and social work activities (Q),33.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q4,Industry (B to E),39.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q4,"Financial, insurance and real estate activities (K, L)",38.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q4,Other NACE activities (R to U),30.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q4,Industry and Construction (B to F),39.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q4,Services (G to U),34.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2023Q4,Not stated,35.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q1,All NACE economic sectors,35.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q1,"Agriculture, forestry and fishing (A)",43.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q1,Construction (F),40.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),31.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q1,Transportation and storage (H),38.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q1,Accommodation and food service activities (I),29.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q1,Information and communication (J),39.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q1,"Professional, scientific and technical activities (M)",38.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q1,Administrative and support service activities (N),33.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q1,Public administration and defence; compulsory social security (O),36.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q1,Education (P),29.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q1,Human health and social work activities (Q),33.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q1,Industry (B to E),39.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q1,"Financial, insurance and real estate activities (K, L)",37.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q1,Other NACE activities (R to U),30.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q1,Industry and Construction (B to F),39.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q1,Services (G to U),34.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q1,Not stated,33.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q2,All NACE economic sectors,35.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q2,"Agriculture, forestry and fishing (A)",43.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q2,Construction (F),40.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),32.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q2,Transportation and storage (H),37.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q2,Accommodation and food service activities (I),30.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q2,Information and communication (J),39.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q2,"Professional, scientific and technical activities (M)",38.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q2,Administrative and support service activities (N),33.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2024Q2,Public administration and defence; compulsory social security (O),37.1
