Statistic,Quarter,Full and Part Time Status,Detailed Occupational Group,value
Persons aged 15 years and over in Employment (ILO),2022Q4,Full-time,"6 Caring, leisure and other services",128.5
Persons aged 15 years and over in Employment (ILO),2022Q4,Full-time,7 Sales and customer service,96.8
Persons aged 15 years and over in Employment (ILO),2022Q4,Full-time,"8 Process, plant and machine operatives",168.4
Persons aged 15 years and over in Employment (ILO),2022Q4,Full-time,9 Elementary,124.1
Persons aged 15 years and over in Employment (ILO),2022Q4,Full-time,X1 Other/Not stated,17.5
Persons aged 15 years and over in Employment (ILO),2022Q4,Part-time,All occupational groups,561.3
Persons aged 15 years and over in Employment (ILO),2022Q4,Part-time,"1 Managers, directors and senior officials",18.0
Persons aged 15 years and over in Employment (ILO),2022Q4,Part-time,2 Professional,67.5
Persons aged 15 years and over in Employment (ILO),2022Q4,Part-time,3 Associate professional and technical,43.5
Persons aged 15 years and over in Employment (ILO),2022Q4,Part-time,4 Administrative and secreterial,66.6
Persons aged 15 years and over in Employment (ILO),2022Q4,Part-time,5 Skilled trades,42.0
Persons aged 15 years and over in Employment (ILO),2022Q4,Part-time,"6 Caring, leisure and other services",82.7
Persons aged 15 years and over in Employment (ILO),2022Q4,Part-time,7 Sales and customer service,91.0
Persons aged 15 years and over in Employment (ILO),2022Q4,Part-time,"8 Process, plant and machine operatives",20.9
Persons aged 15 years and over in Employment (ILO),2022Q4,Part-time,9 Elementary,124.8
Persons aged 15 years and over in Employment (ILO),2022Q4,Part-time,X1 Other/Not stated,
Persons aged 15 years and over in Employment (ILO),2023Q1,All employment status,All occupational groups,2652.7
Persons aged 15 years and over in Employment (ILO),2023Q1,All employment status,"1 Managers, directors and senior officials",243.1
Persons aged 15 years and over in Employment (ILO),2023Q1,All employment status,2 Professional,597.1
Persons aged 15 years and over in Employment (ILO),2023Q1,All employment status,3 Associate professional and technical,347.5
Persons aged 15 years and over in Employment (ILO),2023Q1,All employment status,4 Administrative and secreterial,261.2
Persons aged 15 years and over in Employment (ILO),2023Q1,All employment status,5 Skilled trades,327.6
Persons aged 15 years and over in Employment (ILO),2023Q1,All employment status,"6 Caring, leisure and other services",219.5
Persons aged 15 years and over in Employment (ILO),2023Q1,All employment status,7 Sales and customer service,190.0
Persons aged 15 years and over in Employment (ILO),2023Q1,All employment status,"8 Process, plant and machine operatives",197.9
Persons aged 15 years and over in Employment (ILO),2023Q1,All employment status,9 Elementary,255.8
Persons aged 15 years and over in Employment (ILO),2023Q1,All employment status,X1 Other/Not stated,12.9
Persons aged 15 years and over in Employment (ILO),2023Q1,Full-time,All occupational groups,2081.9
Persons aged 15 years and over in Employment (ILO),2023Q1,Full-time,"1 Managers, directors and senior officials",221.4
Persons aged 15 years and over in Employment (ILO),2023Q1,Full-time,2 Professional,526.2
Persons aged 15 years and over in Employment (ILO),2023Q1,Full-time,3 Associate professional and technical,307.1
Persons aged 15 years and over in Employment (ILO),2023Q1,Full-time,4 Administrative and secreterial,189.7
Persons aged 15 years and over in Employment (ILO),2023Q1,Full-time,5 Skilled trades,285.9
Persons aged 15 years and over in Employment (ILO),2023Q1,Full-time,"6 Caring, leisure and other services",138.0
Persons aged 15 years and over in Employment (ILO),2023Q1,Full-time,7 Sales and customer service,99.0
Persons aged 15 years and over in Employment (ILO),2023Q1,Full-time,"8 Process, plant and machine operatives",173.6
Persons aged 15 years and over in Employment (ILO),2023Q1,Full-time,9 Elementary,130.6
Persons aged 15 years and over in Employment (ILO),2023Q1,Full-time,X1 Other/Not stated,10.3
Persons aged 15 years and over in Employment (ILO),2023Q1,Part-time,All occupational groups,570.8
Persons aged 15 years and over in Employment (ILO),2023Q1,Part-time,"1 Managers, directors and senior officials",21.7
Persons aged 15 years and over in Employment (ILO),2023Q1,Part-time,2 Professional,70.9
Persons aged 15 years and over in Employment (ILO),2023Q1,Part-time,3 Associate professional and technical,40.4
Persons aged 15 years and over in Employment (ILO),2023Q1,Part-time,4 Administrative and secreterial,71.5
Persons aged 15 years and over in Employment (ILO),2023Q1,Part-time,5 Skilled trades,41.7
Persons aged 15 years and over in Employment (ILO),2023Q1,Part-time,"6 Caring, leisure and other services",81.5
Persons aged 15 years and over in Employment (ILO),2023Q1,Part-time,7 Sales and customer service,91.0
Persons aged 15 years and over in Employment (ILO),2023Q1,Part-time,"8 Process, plant and machine operatives",24.3
Persons aged 15 years and over in Employment (ILO),2023Q1,Part-time,9 Elementary,125.2
Persons aged 15 years and over in Employment (ILO),2023Q1,Part-time,X1 Other/Not stated,
Persons aged 15 years and over in Employment (ILO),2023Q2,All employment status,All occupational groups,2682.7
Persons aged 15 years and over in Employment (ILO),2023Q2,All employment status,"1 Managers, directors and senior officials",240.0
Persons aged 15 years and over in Employment (ILO),2023Q2,All employment status,2 Professional,602.1
Persons aged 15 years and over in Employment (ILO),2023Q2,All employment status,3 Associate professional and technical,353.2
Persons aged 15 years and over in Employment (ILO),2023Q2,All employment status,4 Administrative and secreterial,270.1
Persons aged 15 years and over in Employment (ILO),2023Q2,All employment status,5 Skilled trades,344.2
Persons aged 15 years and over in Employment (ILO),2023Q2,All employment status,"6 Caring, leisure and other services",212.5
Persons aged 15 years and over in Employment (ILO),2023Q2,All employment status,7 Sales and customer service,190.2
Persons aged 15 years and over in Employment (ILO),2023Q2,All employment status,"8 Process, plant and machine operatives",198.1
Persons aged 15 years and over in Employment (ILO),2023Q2,All employment status,9 Elementary,261.6
Persons aged 15 years and over in Employment (ILO),2023Q2,All employment status,X1 Other/Not stated,10.6
Persons aged 15 years and over in Employment (ILO),2023Q2,Full-time,All occupational groups,2117.6
Persons aged 15 years and over in Employment (ILO),2023Q2,Full-time,"1 Managers, directors and senior officials",219.5
Persons aged 15 years and over in Employment (ILO),2023Q2,Full-time,2 Professional,529.5
Persons aged 15 years and over in Employment (ILO),2023Q2,Full-time,3 Associate professional and technical,314.6
Persons aged 15 years and over in Employment (ILO),2023Q2,Full-time,4 Administrative and secreterial,196.4
Persons aged 15 years and over in Employment (ILO),2023Q2,Full-time,5 Skilled trades,300.7
Persons aged 15 years and over in Employment (ILO),2023Q2,Full-time,"6 Caring, leisure and other services",137.0
Persons aged 15 years and over in Employment (ILO),2023Q2,Full-time,7 Sales and customer service,97.9
Persons aged 15 years and over in Employment (ILO),2023Q2,Full-time,"8 Process, plant and machine operatives",176.4
Persons aged 15 years and over in Employment (ILO),2023Q2,Full-time,9 Elementary,136.1
Persons aged 15 years and over in Employment (ILO),2023Q2,Full-time,X1 Other/Not stated,9.6
Persons aged 15 years and over in Employment (ILO),2023Q2,Part-time,All occupational groups,565.1
Persons aged 15 years and over in Employment (ILO),2023Q2,Part-time,"1 Managers, directors and senior officials",20.6
Persons aged 15 years and over in Employment (ILO),2023Q2,Part-time,2 Professional,72.5
Persons aged 15 years and over in Employment (ILO),2023Q2,Part-time,3 Associate professional and technical,38.6
Persons aged 15 years and over in Employment (ILO),2023Q2,Part-time,4 Administrative and secreterial,73.7
Persons aged 15 years and over in Employment (ILO),2023Q2,Part-time,5 Skilled trades,43.5
Persons aged 15 years and over in Employment (ILO),2023Q2,Part-time,"6 Caring, leisure and other services",75.5
Persons aged 15 years and over in Employment (ILO),2023Q2,Part-time,7 Sales and customer service,92.2
Persons aged 15 years and over in Employment (ILO),2023Q2,Part-time,"8 Process, plant and machine operatives",21.8
Persons aged 15 years and over in Employment (ILO),2023Q2,Part-time,9 Elementary,125.6
Persons aged 15 years and over in Employment (ILO),2023Q2,Part-time,X1 Other/Not stated,
Persons aged 15 years and over in Employment (ILO),2023Q3,All employment status,All occupational groups,2696.2
Persons aged 15 years and over in Employment (ILO),2023Q3,All employment status,"1 Managers, directors and senior officials",238.3
Persons aged 15 years and over in Employment (ILO),2023Q3,All employment status,2 Professional,624.0
Persons aged 15 years and over in Employment (ILO),2023Q3,All employment status,3 Associate professional and technical,344.0
Persons aged 15 years and over in Employment (ILO),2023Q3,All employment status,4 Administrative and secreterial,266.0
Persons aged 15 years and over in Employment (ILO),2023Q3,All employment status,5 Skilled trades,350.4
Persons aged 15 years and over in Employment (ILO),2023Q3,All employment status,"6 Caring, leisure and other services",216.1
Persons aged 15 years and over in Employment (ILO),2023Q3,All employment status,7 Sales and customer service,183.4
Persons aged 15 years and over in Employment (ILO),2023Q3,All employment status,"8 Process, plant and machine operatives",198.5
Persons aged 15 years and over in Employment (ILO),2023Q3,All employment status,9 Elementary,263.9
Persons aged 15 years and over in Employment (ILO),2023Q3,All employment status,X1 Other/Not stated,11.6
Persons aged 15 years and over in Employment (ILO),2023Q3,Full-time,All occupational groups,2114.3
Persons aged 15 years and over in Employment (ILO),2023Q3,Full-time,"1 Managers, directors and senior officials",218.9
Persons aged 15 years and over in Employment (ILO),2023Q3,Full-time,2 Professional,545.6
Persons aged 15 years and over in Employment (ILO),2023Q3,Full-time,3 Associate professional and technical,305.7
Persons aged 15 years and over in Employment (ILO),2023Q3,Full-time,4 Administrative and secreterial,191.8
Persons aged 15 years and over in Employment (ILO),2023Q3,Full-time,5 Skilled trades,307.5
Persons aged 15 years and over in Employment (ILO),2023Q3,Full-time,"6 Caring, leisure and other services",134.3
Persons aged 15 years and over in Employment (ILO),2023Q3,Full-time,7 Sales and customer service,91.8
Persons aged 15 years and over in Employment (ILO),2023Q3,Full-time,"8 Process, plant and machine operatives",176.8
Persons aged 15 years and over in Employment (ILO),2023Q3,Full-time,9 Elementary,131.9
Persons aged 15 years and over in Employment (ILO),2023Q3,Full-time,X1 Other/Not stated,9.9
Persons aged 15 years and over in Employment (ILO),2023Q3,Part-time,All occupational groups,581.9
Persons aged 15 years and over in Employment (ILO),2023Q3,Part-time,"1 Managers, directors and senior officials",19.4
Persons aged 15 years and over in Employment (ILO),2023Q3,Part-time,2 Professional,78.4
Persons aged 15 years and over in Employment (ILO),2023Q3,Part-time,3 Associate professional and technical,38.3
Persons aged 15 years and over in Employment (ILO),2023Q3,Part-time,4 Administrative and secreterial,74.2
Persons aged 15 years and over in Employment (ILO),2023Q3,Part-time,5 Skilled trades,42.9
Persons aged 15 years and over in Employment (ILO),2023Q3,Part-time,"6 Caring, leisure and other services",81.8
Persons aged 15 years and over in Employment (ILO),2023Q3,Part-time,7 Sales and customer service,91.6
Persons aged 15 years and over in Employment (ILO),2023Q3,Part-time,"8 Process, plant and machine operatives",21.7
Persons aged 15 years and over in Employment (ILO),2023Q3,Part-time,9 Elementary,132.0
Persons aged 15 years and over in Employment (ILO),2023Q3,Part-time,X1 Other/Not stated,
Persons aged 15 years and over in Employment (ILO),2023Q4,All employment status,All occupational groups,2706.4
Persons aged 15 years and over in Employment (ILO),2023Q4,All employment status,"1 Managers, directors and senior officials",239.6
Persons aged 15 years and over in Employment (ILO),2023Q4,All employment status,2 Professional,641.7
Persons aged 15 years and over in Employment (ILO),2023Q4,All employment status,3 Associate professional and technical,347.2
