STATISTIC,Quarter,Nationality,NACE Rev 2 Economic Sector,value
Persons aged 15 years and over in Employment,2014Q4,EU15 to EU27 (accession countries joined post 2004),Administrative and support service activities (N),9.7
Persons aged 15 years and over in Employment,2014Q4,EU15 to EU27 (accession countries joined post 2004),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2014Q4,EU15 to EU27 (accession countries joined post 2004),Education (P),
Persons aged 15 years and over in Employment,2014Q4,EU15 to EU27 (accession countries joined post 2004),Human health and social work activities (Q),7.4
Persons aged 15 years and over in Employment,2014Q4,EU15 to EU27 (accession countries joined post 2004),Industry (B to E),34.1
Persons aged 15 years and over in Employment,2014Q4,EU15 to EU27 (accession countries joined post 2004),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,2014Q4,EU15 to EU27 (accession countries joined post 2004),Other NACE activities (R to U),5.5
Persons aged 15 years and over in Employment,2014Q4,EU15 to EU27 (accession countries joined post 2004),Not stated,
Persons aged 15 years and over in Employment,2014Q4,UK,All NACE economic sectors,48.7
Persons aged 15 years and over in Employment,2014Q4,UK,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,2014Q4,UK,Construction (F),
Persons aged 15 years and over in Employment,2014Q4,UK,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),7.6
Persons aged 15 years and over in Employment,2014Q4,UK,Transportation and storage (H),
Persons aged 15 years and over in Employment,2014Q4,UK,Accommodation and food service activities (I),
Persons aged 15 years and over in Employment,2014Q4,UK,Information and communication (J),5.5
Persons aged 15 years and over in Employment,2014Q4,UK,"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment,2014Q4,UK,Administrative and support service activities (N),
Persons aged 15 years and over in Employment,2014Q4,UK,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2014Q4,UK,Education (P),
Persons aged 15 years and over in Employment,2014Q4,UK,Human health and social work activities (Q),7.7
Persons aged 15 years and over in Employment,2014Q4,UK,Industry (B to E),5.9
Persons aged 15 years and over in Employment,2014Q4,UK,"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,2014Q4,UK,Other NACE activities (R to U),
Persons aged 15 years and over in Employment,2014Q4,UK,Not stated,
Persons aged 15 years and over in Employment,2014Q4,Irish,All NACE economic sectors,1740.3
Persons aged 15 years and over in Employment,2014Q4,Irish,"Agriculture, forestry and fishing (A)",97.2
Persons aged 15 years and over in Employment,2014Q4,Irish,Construction (F),88.2
Persons aged 15 years and over in Employment,2014Q4,Irish,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),245.9
Persons aged 15 years and over in Employment,2014Q4,Irish,Transportation and storage (H),77.7
Persons aged 15 years and over in Employment,2014Q4,Irish,Accommodation and food service activities (I),105.5
Persons aged 15 years and over in Employment,2014Q4,Irish,Information and communication (J),80.6
Persons aged 15 years and over in Employment,2014Q4,Irish,"Professional, scientific and technical activities (M)",115.2
Persons aged 15 years and over in Employment,2014Q4,Irish,Administrative and support service activities (N),62.4
Persons aged 15 years and over in Employment,2014Q4,Irish,Public administration and defence; compulsory social security (O),85.2
Persons aged 15 years and over in Employment,2014Q4,Irish,Education (P),142.7
Persons aged 15 years and over in Employment,2014Q4,Irish,Human health and social work activities (Q),239.1
Persons aged 15 years and over in Employment,2014Q4,Irish,Industry (B to E),206.2
Persons aged 15 years and over in Employment,2014Q4,Irish,"Financial, insurance and real estate activities (K, L)",95.8
Persons aged 15 years and over in Employment,2014Q4,Irish,Other NACE activities (R to U),93.0
Persons aged 15 years and over in Employment,2014Q4,Irish,Not stated,5.7
Persons aged 15 years and over in Employment,2014Q4,Non-Irish,All NACE economic sectors,284.7
Persons aged 15 years and over in Employment,2014Q4,Non-Irish,"Agriculture, forestry and fishing (A)",7.4
Persons aged 15 years and over in Employment,2014Q4,Non-Irish,Construction (F),12.1
Persons aged 15 years and over in Employment,2014Q4,Non-Irish,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),46.9
Persons aged 15 years and over in Employment,2014Q4,Non-Irish,Transportation and storage (H),9.0
Persons aged 15 years and over in Employment,2014Q4,Non-Irish,Accommodation and food service activities (I),41.4
Persons aged 15 years and over in Employment,2014Q4,Non-Irish,Information and communication (J),20.5
Persons aged 15 years and over in Employment,2014Q4,Non-Irish,"Professional, scientific and technical activities (M)",14.8
Persons aged 15 years and over in Employment,2014Q4,Non-Irish,Administrative and support service activities (N),18.5
Persons aged 15 years and over in Employment,2014Q4,Non-Irish,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2014Q4,Non-Irish,Education (P),8.2
Persons aged 15 years and over in Employment,2014Q4,Non-Irish,Human health and social work activities (Q),26.0
Persons aged 15 years and over in Employment,2014Q4,Non-Irish,Industry (B to E),51.0
Persons aged 15 years and over in Employment,2014Q4,Non-Irish,"Financial, insurance and real estate activities (K, L)",10.8
Persons aged 15 years and over in Employment,2014Q4,Non-Irish,Other NACE activities (R to U),14.4
Persons aged 15 years and over in Employment,2014Q4,Non-Irish,Not stated,
Persons aged 15 years and over in Employment,2014Q4,Other nationalities (7),All NACE economic sectors,51.5
Persons aged 15 years and over in Employment,2014Q4,Other nationalities (7),"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,2014Q4,Other nationalities (7),Construction (F),
Persons aged 15 years and over in Employment,2014Q4,Other nationalities (7),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),6.0
Persons aged 15 years and over in Employment,2014Q4,Other nationalities (7),Transportation and storage (H),
Persons aged 15 years and over in Employment,2014Q4,Other nationalities (7),Accommodation and food service activities (I),10.5
Persons aged 15 years and over in Employment,2014Q4,Other nationalities (7),Information and communication (J),5.1
Persons aged 15 years and over in Employment,2014Q4,Other nationalities (7),"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment,2014Q4,Other nationalities (7),Administrative and support service activities (N),3.8
Persons aged 15 years and over in Employment,2014Q4,Other nationalities (7),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2014Q4,Other nationalities (7),Education (P),
Persons aged 15 years and over in Employment,2014Q4,Other nationalities (7),Human health and social work activities (Q),8.2
Persons aged 15 years and over in Employment,2014Q4,Other nationalities (7),Industry (B to E),5.8
Persons aged 15 years and over in Employment,2014Q4,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,2014Q4,Other nationalities (7),Other NACE activities (R to U),4.0
Persons aged 15 years and over in Employment,2014Q4,Other nationalities (7),Not stated,
Persons aged 15 years and over in Employment,2015Q1,All nationalities,All NACE economic sectors,2012.4
Persons aged 15 years and over in Employment,2015Q1,All nationalities,"Agriculture, forestry and fishing (A)",106.9
Persons aged 15 years and over in Employment,2015Q1,All nationalities,Construction (F),105.2
Persons aged 15 years and over in Employment,2015Q1,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),286.1
Persons aged 15 years and over in Employment,2015Q1,All nationalities,Transportation and storage (H),87.3
Persons aged 15 years and over in Employment,2015Q1,All nationalities,Accommodation and food service activities (I),141.2
Persons aged 15 years and over in Employment,2015Q1,All nationalities,Information and communication (J),100.1
Persons aged 15 years and over in Employment,2015Q1,All nationalities,"Professional, scientific and technical activities (M)",120.7
Persons aged 15 years and over in Employment,2015Q1,All nationalities,Administrative and support service activities (N),75.5
Persons aged 15 years and over in Employment,2015Q1,All nationalities,Public administration and defence; compulsory social security (O),90.7
Persons aged 15 years and over in Employment,2015Q1,All nationalities,Education (P),151.2
Persons aged 15 years and over in Employment,2015Q1,All nationalities,Human health and social work activities (Q),263.7
Persons aged 15 years and over in Employment,2015Q1,All nationalities,Industry (B to E),259.3
Persons aged 15 years and over in Employment,2015Q1,All nationalities,"Financial, insurance and real estate activities (K, L)",106.2
Persons aged 15 years and over in Employment,2015Q1,All nationalities,Other NACE activities (R to U),111.9
Persons aged 15 years and over in Employment,2015Q1,All nationalities,Not stated,6.3
Persons aged 15 years and over in Employment,2015Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All NACE economic sectors,36.4
Persons aged 15 years and over in Employment,2015Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,2015Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Construction (F),
Persons aged 15 years and over in Employment,2015Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment,2015Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Transportation and storage (H),
Persons aged 15 years and over in Employment,2015Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Accommodation and food service activities (I),4.4
Persons aged 15 years and over in Employment,2015Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Information and communication (J),8.0
Persons aged 15 years and over in Employment,2015Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment,2015Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Administrative and support service activities (N),
Persons aged 15 years and over in Employment,2015Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Public administration and defence; compulsory social security (O),
