Statistic,Quarter,Region,value
ILO Participation Rate (15 years and over),2017Q1,State,61.4
ILO Participation Rate (15 years and over),2017Q1,Northern and Western,60.2
ILO Participation Rate (15 years and over),2017Q1,Border,60.3
ILO Participation Rate (15 years and over),2017Q1,West,60.0
ILO Participation Rate (15 years and over),2017Q1,Southern,60.5
ILO Participation Rate (15 years and over),2017Q1,Mid-West,60.9
ILO Participation Rate (15 years and over),2017Q1,South-East,59.9
ILO Participation Rate (15 years and over),2017Q1,South-West,60.7
ILO Participation Rate (15 years and over),2017Q1,Eastern and Midland,62.5
ILO Participation Rate (15 years and over),2017Q1,Dublin,63.7
ILO Participation Rate (15 years and over),2017Q1,Mid-East,62.6
ILO Participation Rate (15 years and over),2017Q1,Midland,56.7
ILO Participation Rate (15 years and over),2017Q2,State,61.8
ILO Participation Rate (15 years and over),2017Q2,Northern and Western,60.3
ILO Participation Rate (15 years and over),2017Q2,Border,62.2
ILO Participation Rate (15 years and over),2017Q2,West,58.6
ILO Participation Rate (15 years and over),2017Q2,Southern,61.3
ILO Participation Rate (15 years and over),2017Q2,Mid-West,63.0
ILO Participation Rate (15 years and over),2017Q2,South-East,57.9
ILO Participation Rate (15 years and over),2017Q2,South-West,62.1
ILO Participation Rate (15 years and over),2017Q2,Eastern and Midland,62.7
ILO Participation Rate (15 years and over),2017Q2,Dublin,63.9
ILO Participation Rate (15 years and over),2017Q2,Mid-East,62.6
ILO Participation Rate (15 years and over),2017Q2,Midland,56.9
ILO Participation Rate (15 years and over),2017Q3,State,62.3
ILO Participation Rate (15 years and over),2017Q3,Northern and Western,61.2
ILO Participation Rate (15 years and over),2017Q3,Border,61.7
ILO Participation Rate (15 years and over),2017Q3,West,60.8
ILO Participation Rate (15 years and over),2017Q3,Southern,61.3
ILO Participation Rate (15 years and over),2017Q3,Mid-West,61.7
ILO Participation Rate (15 years and over),2017Q3,South-East,60.3
ILO Participation Rate (15 years and over),2017Q3,South-West,61.7
ILO Participation Rate (15 years and over),2017Q3,Eastern and Midland,63.4
ILO Participation Rate (15 years and over),2017Q3,Dublin,64.6
ILO Participation Rate (15 years and over),2017Q3,Mid-East,63.2
ILO Participation Rate (15 years and over),2017Q3,Midland,57.8
ILO Participation Rate (15 years and over),2017Q4,State,62.0
ILO Participation Rate (15 years and over),2017Q4,Northern and Western,60.1
ILO Participation Rate (15 years and over),2017Q4,Border,60.3
ILO Participation Rate (15 years and over),2017Q4,West,60.0
ILO Participation Rate (15 years and over),2017Q4,Southern,60.5
ILO Participation Rate (15 years and over),2017Q4,Mid-West,61.6
ILO Participation Rate (15 years and over),2017Q4,South-East,59.1
ILO Participation Rate (15 years and over),2017Q4,South-West,60.6
ILO Participation Rate (15 years and over),2017Q4,Eastern and Midland,63.8
ILO Participation Rate (15 years and over),2017Q4,Dublin,65.1
ILO Participation Rate (15 years and over),2017Q4,Mid-East,63.4
ILO Participation Rate (15 years and over),2017Q4,Midland,58.5
ILO Participation Rate (15 years and over),2018Q1,State,61.4
ILO Participation Rate (15 years and over),2018Q1,Northern and Western,59.9
ILO Participation Rate (15 years and over),2018Q1,Border,58.9
ILO Participation Rate (15 years and over),2018Q1,West,60.7
ILO Participation Rate (15 years and over),2018Q1,Southern,59.3
ILO Participation Rate (15 years and over),2018Q1,Mid-West,58.6
ILO Participation Rate (15 years and over),2018Q1,South-East,57.8
ILO Participation Rate (15 years and over),2018Q1,South-West,60.6
ILO Participation Rate (15 years and over),2018Q1,Eastern and Midland,63.4
ILO Participation Rate (15 years and over),2018Q1,Dublin,65.3
ILO Participation Rate (15 years and over),2018Q1,Mid-East,61.6
ILO Participation Rate (15 years and over),2018Q1,Midland,58.5
ILO Participation Rate (15 years and over),2018Q2,State,62.2
ILO Participation Rate (15 years and over),2018Q2,Northern and Western,59.1
ILO Participation Rate (15 years and over),2018Q2,Border,58.6
ILO Participation Rate (15 years and over),2018Q2,West,59.5
ILO Participation Rate (15 years and over),2018Q2,Southern,60.7
ILO Participation Rate (15 years and over),2018Q2,Mid-West,59.2
ILO Participation Rate (15 years and over),2018Q2,South-East,60.4
ILO Participation Rate (15 years and over),2018Q2,South-West,62.0
ILO Participation Rate (15 years and over),2018Q2,Eastern and Midland,64.3
ILO Participation Rate (15 years and over),2018Q2,Dublin,65.9
ILO Participation Rate (15 years and over),2018Q2,Mid-East,63.5
ILO Participation Rate (15 years and over),2018Q2,Midland,59.0
ILO Participation Rate (15 years and over),2018Q3,State,62.5
ILO Participation Rate (15 years and over),2018Q3,Northern and Western,60.0
ILO Participation Rate (15 years and over),2018Q3,Border,59.0
ILO Participation Rate (15 years and over),2018Q3,West,60.9
ILO Participation Rate (15 years and over),2018Q3,Southern,61.2
ILO Participation Rate (15 years and over),2018Q3,Mid-West,60.4
ILO Participation Rate (15 years and over),2018Q3,South-East,59.8
ILO Participation Rate (15 years and over),2018Q3,South-West,62.7
ILO Participation Rate (15 years and over),2018Q3,Eastern and Midland,64.2
ILO Participation Rate (15 years and over),2018Q3,Dublin,65.8
ILO Participation Rate (15 years and over),2018Q3,Mid-East,63.0
ILO Participation Rate (15 years and over),2018Q3,Midland,59.1
ILO Participation Rate (15 years and over),2018Q4,State,62.0
ILO Participation Rate (15 years and over),2018Q4,Northern and Western,59.6
ILO Participation Rate (15 years and over),2018Q4,Border,57.5
ILO Participation Rate (15 years and over),2018Q4,West,61.4
ILO Participation Rate (15 years and over),2018Q4,Southern,59.6
ILO Participation Rate (15 years and over),2018Q4,Mid-West,58.0
ILO Participation Rate (15 years and over),2018Q4,South-East,59.1
ILO Participation Rate (15 years and over),2018Q4,South-West,61.1
ILO Participation Rate (15 years and over),2018Q4,Eastern and Midland,64.5
ILO Participation Rate (15 years and over),2018Q4,Dublin,65.7
ILO Participation Rate (15 years and over),2018Q4,Mid-East,64.3
ILO Participation Rate (15 years and over),2018Q4,Midland,59.0
ILO Participation Rate (15 years and over),2019Q1,State,61.9
ILO Participation Rate (15 years and over),2019Q1,Northern and Western,60.3
ILO Participation Rate (15 years and over),2019Q1,Border,59.4
ILO Participation Rate (15 years and over),2019Q1,West,61.2
ILO Participation Rate (15 years and over),2019Q1,Southern,59.7
ILO Participation Rate (15 years and over),2019Q1,Mid-West,59.1
ILO Participation Rate (15 years and over),2019Q1,South-East,58.5
ILO Participation Rate (15 years and over),2019Q1,South-West,60.8
ILO Participation Rate (15 years and over),2019Q1,Eastern and Midland,63.9
ILO Participation Rate (15 years and over),2019Q1,Dublin,65.3
ILO Participation Rate (15 years and over),2019Q1,Mid-East,63.8
ILO Participation Rate (15 years and over),2019Q1,Midland,57.7
ILO Participation Rate (15 years and over),2019Q2,State,62.0
ILO Participation Rate (15 years and over),2019Q2,Northern and Western,60.0
ILO Participation Rate (15 years and over),2019Q2,Border,58.3
ILO Participation Rate (15 years and over),2019Q2,West,61.4
ILO Participation Rate (15 years and over),2019Q2,Southern,59.6
ILO Participation Rate (15 years and over),2019Q2,Mid-West,59.6
ILO Participation Rate (15 years and over),2019Q2,South-East,58.7
ILO Participation Rate (15 years and over),2019Q2,South-West,60.1
ILO Participation Rate (15 years and over),2019Q2,Eastern and Midland,64.3
ILO Participation Rate (15 years and over),2019Q2,Dublin,65.9
ILO Participation Rate (15 years and over),2019Q2,Mid-East,63.9
ILO Participation Rate (15 years and over),2019Q2,Midland,58.0
ILO Participation Rate (15 years and over),2019Q3,State,62.4
ILO Participation Rate (15 years and over),2019Q3,Northern and Western,60.3
ILO Participation Rate (15 years and over),2019Q3,Border,57.9
ILO Participation Rate (15 years and over),2019Q3,West,62.3
ILO Participation Rate (15 years and over),2019Q3,Southern,60.0
ILO Participation Rate (15 years and over),2019Q3,Mid-West,58.9
ILO Participation Rate (15 years and over),2019Q3,South-East,59.1
ILO Participation Rate (15 years and over),2019Q3,South-West,61.4
ILO Participation Rate (15 years and over),2019Q3,Eastern and Midland,64.8
ILO Participation Rate (15 years and over),2019Q3,Dublin,66.0
ILO Participation Rate (15 years and over),2019Q3,Mid-East,64.9
ILO Participation Rate (15 years and over),2019Q3,Midland,58.9
ILO Participation Rate (15 years and over),2019Q4,State,62.5
ILO Participation Rate (15 years and over),2019Q4,Northern and Western,60.7
ILO Participation Rate (15 years and over),2019Q4,Border,59.1
ILO Participation Rate (15 years and over),2019Q4,West,62.0
ILO Participation Rate (15 years and over),2019Q4,Southern,60.4
ILO Participation Rate (15 years and over),2019Q4,Mid-West,58.1
ILO Participation Rate (15 years and over),2019Q4,South-East,60.5
ILO Participation Rate (15 years and over),2019Q4,South-West,61.9
ILO Participation Rate (15 years and over),2019Q4,Eastern and Midland,64.7
ILO Participation Rate (15 years and over),2019Q4,Dublin,66.2
ILO Participation Rate (15 years and over),2019Q4,Mid-East,63.9
ILO Participation Rate (15 years and over),2019Q4,Midland,59.4
ILO Participation Rate (15 years and over),2020Q1,State,62.2
ILO Participation Rate (15 years and over),2020Q1,Northern and Western,59.6
ILO Participation Rate (15 years and over),2020Q1,Border,57.8
ILO Participation Rate (15 years and over),2020Q1,West,61.2
ILO Participation Rate (15 years and over),2020Q1,Southern,60.9
ILO Participation Rate (15 years and over),2020Q1,Mid-West,58.6
ILO Participation Rate (15 years and over),2020Q1,South-East,60.1
ILO Participation Rate (15 years and over),2020Q1,South-West,62.8
ILO Participation Rate (15 years and over),2020Q1,Eastern and Midland,64.0
ILO Participation Rate (15 years and over),2020Q1,Dublin,65.4
ILO Participation Rate (15 years and over),2020Q1,Mid-East,62.6
ILO Participation Rate (15 years and over),2020Q1,Midland,60.2
ILO Participation Rate (15 years and over),2020Q2,State,56.9
ILO Participation Rate (15 years and over),2020Q2,Northern and Western,53.8
ILO Participation Rate (15 years and over),2020Q2,Border,50.4
ILO Participation Rate (15 years and over),2020Q2,West,56.8
ILO Participation Rate (15 years and over),2020Q2,Southern,55.1
ILO Participation Rate (15 years and over),2020Q2,Mid-West,54.4
ILO Participation Rate (15 years and over),2020Q2,South-East,53.6
ILO Participation Rate (15 years and over),2020Q2,South-West,56.5
ILO Participation Rate (15 years and over),2020Q2,Eastern and Midland,59.2
ILO Participation Rate (15 years and over),2020Q2,Dublin,60.5
ILO Participation Rate (15 years and over),2020Q2,Mid-East,57.4
ILO Participation Rate (15 years and over),2020Q2,Midland,56.8
ILO Participation Rate (15 years and over),2020Q3,State,61.0
ILO Participation Rate (15 years and over),2020Q3,Northern and Western,58.5
ILO Participation Rate (15 years and over),2020Q3,Border,54.9
ILO Participation Rate (15 years and over),2020Q3,West,61.6
ILO Participation Rate (15 years and over),2020Q3,Southern,59.0
ILO Participation Rate (15 years and over),2020Q3,Mid-West,57.6
ILO Participation Rate (15 years and over),2020Q3,South-East,58.3
ILO Participation Rate (15 years and over),2020Q3,South-West,60.5
ILO Participation Rate (15 years and over),2020Q3,Eastern and Midland,63.1
ILO Participation Rate (15 years and over),2020Q3,Dublin,63.9
ILO Participation Rate (15 years and over),2020Q3,Mid-East,62.7
ILO Participation Rate (15 years and over),2020Q3,Midland,60.3
ILO Participation Rate (15 years and over),2020Q4,State,60.6
ILO Participation Rate (15 years and over),2020Q4,Northern and Western,58.2
ILO Participation Rate (15 years and over),2020Q4,Border,56.5
ILO Participation Rate (15 years and over),2020Q4,West,59.8
ILO Participation Rate (15 years and over),2020Q4,Southern,58.7
ILO Participation Rate (15 years and over),2020Q4,Mid-West,58.0
ILO Participation Rate (15 years and over),2020Q4,South-East,56.9
ILO Participation Rate (15 years and over),2020Q4,South-West,60.3
ILO Participation Rate (15 years and over),2020Q4,Eastern and Midland,62.7
ILO Participation Rate (15 years and over),2020Q4,Dublin,63.1
ILO Participation Rate (15 years and over),2020Q4,Mid-East,62.0
ILO Participation Rate (15 years and over),2020Q4,Midland,62.6
ILO Participation Rate (15 years and over),2021Q1,State,60.0
ILO Participation Rate (15 years and over),2021Q1,Northern and Western,58.4
ILO Participation Rate (15 years and over),2021Q1,Border,56.4
ILO Participation Rate (15 years and over),2021Q1,West,60.1
ILO Participation Rate (15 years and over),2021Q1,Southern,57.3
ILO Participation Rate (15 years and over),2021Q1,Mid-West,56.1
ILO Participation Rate (15 years and over),2021Q1,South-East,55.9
ILO Participation Rate (15 years and over),2021Q1,South-West,59.0
ILO Participation Rate (15 years and over),2021Q1,Eastern and Midland,62.3
ILO Participation Rate (15 years and over),2021Q1,Dublin,62.9
ILO Participation Rate (15 years and over),2021Q1,Mid-East,61.4
ILO Participation Rate (15 years and over),2021Q1,Midland,62.1
ILO Participation Rate (15 years and over),2021Q2,State,63.2
ILO Participation Rate (15 years and over),2021Q2,Northern and Western,61.6
ILO Participation Rate (15 years and over),2021Q2,Border,59.6
ILO Participation Rate (15 years and over),2021Q2,West,63.2
ILO Participation Rate (15 years and over),2021Q2,Southern,61.7
ILO Participation Rate (15 years and over),2021Q2,Mid-West,62.1
ILO Participation Rate (15 years and over),2021Q2,South-East,60.3
ILO Participation Rate (15 years and over),2021Q2,South-West,62.4
ILO Participation Rate (15 years and over),2021Q2,Eastern and Midland,64.7
ILO Participation Rate (15 years and over),2021Q2,Dublin,66.3
ILO Participation Rate (15 years and over),2021Q2,Mid-East,62.4
ILO Participation Rate (15 years and over),2021Q2,Midland,62.5
ILO Participation Rate (15 years and over),2021Q3,State,65.1
ILO Participation Rate (15 years and over),2021Q3,Northern and Western,63.0
ILO Participation Rate (15 years and over),2021Q3,Border,62.0
ILO Participation Rate (15 years and over),2021Q3,West,63.9
ILO Participation Rate (15 years and over),2021Q3,Southern,63.3
ILO Participation Rate (15 years and over),2021Q3,Mid-West,63.1
ILO Participation Rate (15 years and over),2021Q3,South-East,60.6
ILO Participation Rate (15 years and over),2021Q3,South-West,65.1
ILO Participation Rate (15 years and over),2021Q3,Eastern and Midland,67.1
ILO Participation Rate (15 years and over),2021Q3,Dublin,68.1
ILO Participation Rate (15 years and over),2021Q3,Mid-East,66.5
ILO Participation Rate (15 years and over),2021Q3,Midland,63.5
ILO Participation Rate (15 years and over),2021Q4,State,65.2
ILO Participation Rate (15 years and over),2021Q4,Northern and Western,62.0
ILO Participation Rate (15 years and over),2021Q4,Border,60.0
ILO Participation Rate (15 years and over),2021Q4,West,63.7
ILO Participation Rate (15 years and over),2021Q4,Southern,62.9
ILO Participation Rate (15 years and over),2021Q4,Mid-West,63.2
ILO Participation Rate (15 years and over),2021Q4,South-East,62.3
ILO Participation Rate (15 years and over),2021Q4,South-West,63.0
ILO Participation Rate (15 years and over),2021Q4,Eastern and Midland,67.9
ILO Participation Rate (15 years and over),2021Q4,Dublin,69.1
ILO Participation Rate (15 years and over),2021Q4,Mid-East,66.3
ILO Participation Rate (15 years and over),2021Q4,Midland,65.9
ILO Participation Rate (15 years and over),2022Q1,State,64.9
ILO Participation Rate (15 years and over),2022Q1,Northern and Western,62.5
ILO Participation Rate (15 years and over),2022Q1,Border,61.0
ILO Participation Rate (15 years and over),2022Q1,West,63.7
ILO Participation Rate (15 years and over),2022Q1,Southern,62.5
ILO Participation Rate (15 years and over),2022Q1,Mid-West,60.7
ILO Participation Rate (15 years and over),2022Q1,South-East,60.9
ILO Participation Rate (15 years and over),2022Q1,South-West,64.8
ILO Participation Rate (15 years and over),2022Q1,Eastern and Midland,67.3
ILO Participation Rate (15 years and over),2022Q1,Dublin,68.6
ILO Participation Rate (15 years and over),2022Q1,Mid-East,65.5
ILO Participation Rate (15 years and over),2022Q1,Midland,65.4
ILO Participation Rate (15 years and over),2022Q2,State,65.3
ILO Participation Rate (15 years and over),2022Q2,Northern and Western,62.7
ILO Participation Rate (15 years and over),2022Q2,Border,61.5
ILO Participation Rate (15 years and over),2022Q2,West,63.7
ILO Participation Rate (15 years and over),2022Q2,Southern,63.9
ILO Participation Rate (15 years and over),2022Q2,Mid-West,64.2
ILO Participation Rate (15 years and over),2022Q2,South-East,61.5
ILO Participation Rate (15 years and over),2022Q2,South-West,65.2
ILO Participation Rate (15 years and over),2022Q2,Eastern and Midland,67.1
ILO Participation Rate (15 years and over),2022Q2,Dublin,68.4
ILO Participation Rate (15 years and over),2022Q2,Mid-East,65.6
ILO Participation Rate (15 years and over),2022Q2,Midland,64.8
ILO Participation Rate (15 years and over),2022Q3,State,64.8
ILO Participation Rate (15 years and over),2022Q3,Northern and Western,62.7
ILO Participation Rate (15 years and over),2022Q3,Border,61.8
ILO Participation Rate (15 years and over),2022Q3,West,63.5
ILO Participation Rate (15 years and over),2022Q3,Southern,62.9
ILO Participation Rate (15 years and over),2022Q3,Mid-West,62.3
ILO Participation Rate (15 years and over),2022Q3,South-East,62.0
ILO Participation Rate (15 years and over),2022Q3,South-West,63.8
ILO Participation Rate (15 years and over),2022Q3,Eastern and Midland,66.9
ILO Participation Rate (15 years and over),2022Q3,Dublin,68.1
ILO Participation Rate (15 years and over),2022Q3,Mid-East,65.5
ILO Participation Rate (15 years and over),2022Q3,Midland,64.0
ILO Participation Rate (15 years and over),2022Q4,State,64.6
