Statistic,Quarter,NACE Rev 2 Economic Sector,Citizenship,value
Persons aged 15 years and over in Employment,2024Q4,Accommodation and food service activities (I),"All countries excluding Ireland,United Kingdom and EU272020",30.5
Persons aged 15 years and over in Employment,2024Q4,Information and communication (J),All Countries,182.9
Persons aged 15 years and over in Employment,2024Q4,Information and communication (J),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),13.9
Persons aged 15 years and over in Employment,2024Q4,Information and communication (J),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2024Q4,Information and communication (J),United Kingdom,
Persons aged 15 years and over in Employment,2024Q4,Information and communication (J),Ireland,119.3
Persons aged 15 years and over in Employment,2024Q4,Information and communication (J),All countries excluding Ireland,63.6
Persons aged 15 years and over in Employment,2024Q4,Information and communication (J),"All countries excluding Ireland,United Kingdom and EU272020",37.8
Persons aged 15 years and over in Employment,2024Q4,"Professional, scientific and technical activities (M)",All Countries,198.5
Persons aged 15 years and over in Employment,2024Q4,"Professional, scientific and technical activities (M)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2024Q4,"Professional, scientific and technical activities (M)",EU15 to EU27 (accession countries joined post 2004),9.2
Persons aged 15 years and over in Employment,2024Q4,"Professional, scientific and technical activities (M)",United Kingdom,
Persons aged 15 years and over in Employment,2024Q4,"Professional, scientific and technical activities (M)",Ireland,156.6
Persons aged 15 years and over in Employment,2024Q4,"Professional, scientific and technical activities (M)",All countries excluding Ireland,42.0
Persons aged 15 years and over in Employment,2024Q4,"Professional, scientific and technical activities (M)","All countries excluding Ireland,United Kingdom and EU272020",18.8
Persons aged 15 years and over in Employment,2024Q4,Administrative and support service activities (N),All Countries,100.1
Persons aged 15 years and over in Employment,2024Q4,Administrative and support service activities (N),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2024Q4,Administrative and support service activities (N),EU15 to EU27 (accession countries joined post 2004),11.6
Persons aged 15 years and over in Employment,2024Q4,Administrative and support service activities (N),United Kingdom,
Persons aged 15 years and over in Employment,2024Q4,Administrative and support service activities (N),Ireland,73.5
Persons aged 15 years and over in Employment,2024Q4,Administrative and support service activities (N),All countries excluding Ireland,26.6
Persons aged 15 years and over in Employment,2024Q4,Administrative and support service activities (N),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2024Q4,"Public administration and defence, compulsory social security (O)",All Countries,151.4
Persons aged 15 years and over in Employment,2024Q4,"Public administration and defence, compulsory social security (O)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2024Q4,"Public administration and defence, compulsory social security (O)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2024Q4,"Public administration and defence, compulsory social security (O)",United Kingdom,
Persons aged 15 years and over in Employment,2024Q4,"Public administration and defence, compulsory social security (O)",Ireland,141.2
Persons aged 15 years and over in Employment,2024Q4,"Public administration and defence, compulsory social security (O)",All countries excluding Ireland,10.2
Persons aged 15 years and over in Employment,2024Q4,"Public administration and defence, compulsory social security (O)","All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2024Q4,Education (P),All Countries,239.8
Persons aged 15 years and over in Employment,2024Q4,Education (P),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2024Q4,Education (P),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2024Q4,Education (P),United Kingdom,
Persons aged 15 years and over in Employment,2024Q4,Education (P),Ireland,215.9
Persons aged 15 years and over in Employment,2024Q4,Education (P),All countries excluding Ireland,23.8
Persons aged 15 years and over in Employment,2024Q4,Education (P),"All countries excluding Ireland,United Kingdom and EU272020",11.8
Persons aged 15 years and over in Employment,2024Q4,Human health and social work activities (Q),All Countries,382.5
Persons aged 15 years and over in Employment,2024Q4,Human health and social work activities (Q),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2024Q4,Human health and social work activities (Q),EU15 to EU27 (accession countries joined post 2004),12.5
Persons aged 15 years and over in Employment,2024Q4,Human health and social work activities (Q),United Kingdom,
Persons aged 15 years and over in Employment,2024Q4,Human health and social work activities (Q),Ireland,302.1
Persons aged 15 years and over in Employment,2024Q4,Human health and social work activities (Q),All countries excluding Ireland,80.4
Persons aged 15 years and over in Employment,2024Q4,Human health and social work activities (Q),"All countries excluding Ireland,United Kingdom and EU272020",55.1
Persons aged 15 years and over in Employment,2024Q4,Industry (B to E),All Countries,332.3
Persons aged 15 years and over in Employment,2024Q4,Industry (B to E),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),13.3
Persons aged 15 years and over in Employment,2024Q4,Industry (B to E),EU15 to EU27 (accession countries joined post 2004),31.0
Persons aged 15 years and over in Employment,2024Q4,Industry (B to E),United Kingdom,
Persons aged 15 years and over in Employment,2024Q4,Industry (B to E),Ireland,255.8
Persons aged 15 years and over in Employment,2024Q4,Industry (B to E),All countries excluding Ireland,76.5
Persons aged 15 years and over in Employment,2024Q4,Industry (B to E),"All countries excluding Ireland,United Kingdom and EU272020",27.4
Persons aged 15 years and over in Employment,2024Q4,Industry and Construction (B to F),All Countries,508.3
Persons aged 15 years and over in Employment,2024Q4,Industry and Construction (B to F),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),15.3
Persons aged 15 years and over in Employment,2024Q4,Industry and Construction (B to F),EU15 to EU27 (accession countries joined post 2004),49.5
Persons aged 15 years and over in Employment,2024Q4,Industry and Construction (B to F),United Kingdom,
Persons aged 15 years and over in Employment,2024Q4,Industry and Construction (B to F),Ireland,400.9
Persons aged 15 years and over in Employment,2024Q4,Industry and Construction (B to F),All countries excluding Ireland,107.4
Persons aged 15 years and over in Employment,2024Q4,Industry and Construction (B to F),"All countries excluding Ireland,United Kingdom and EU272020",36.2
Persons aged 15 years and over in Employment,2024Q4,Services (G to U),All Countries,2153.8
Persons aged 15 years and over in Employment,2024Q4,Services (G to U),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),70.4
Persons aged 15 years and over in Employment,2024Q4,Services (G to U),EU15 to EU27 (accession countries joined post 2004),115.7
Persons aged 15 years and over in Employment,2024Q4,Services (G to U),United Kingdom,39.6
Persons aged 15 years and over in Employment,2024Q4,Services (G to U),Ireland,1706.2
Persons aged 15 years and over in Employment,2024Q4,Services (G to U),All countries excluding Ireland,447.6
Persons aged 15 years and over in Employment,2024Q4,Services (G to U),"All countries excluding Ireland,United Kingdom and EU272020",222.0
Persons aged 15 years and over in Employment,2024Q4,"Financial, insurance and real estate activities (K,L)",All Countries,141.5
Persons aged 15 years and over in Employment,2024Q4,"Financial, insurance and real estate activities (K,L)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2024Q4,"Financial, insurance and real estate activities (K,L)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2024Q4,"Financial, insurance and real estate activities (K,L)",United Kingdom,
Persons aged 15 years and over in Employment,2024Q4,"Financial, insurance and real estate activities (K,L)",Ireland,115.1
Persons aged 15 years and over in Employment,2024Q4,"Financial, insurance and real estate activities (K,L)",All countries excluding Ireland,26.4
Persons aged 15 years and over in Employment,2024Q4,"Financial, insurance and real estate activities (K,L)","All countries excluding Ireland,United Kingdom and EU272020",11.6
Persons aged 15 years and over in Employment,2024Q4,Other NACE activities (R to U),All Countries,124.4
Persons aged 15 years and over in Employment,2024Q4,Other NACE activities (R to U),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2024Q4,Other NACE activities (R to U),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2024Q4,Other NACE activities (R to U),United Kingdom,
Persons aged 15 years and over in Employment,2024Q4,Other NACE activities (R to U),Ireland,101.3
Persons aged 15 years and over in Employment,2024Q4,Other NACE activities (R to U),All countries excluding Ireland,23.1
Persons aged 15 years and over in Employment,2024Q4,Other NACE activities (R to U),"All countries excluding Ireland,United Kingdom and EU272020",12.6
Persons aged 15 years and over in Employment,2024Q4,Not stated,All Countries,
Persons aged 15 years and over in Employment,2024Q4,Not stated,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2024Q4,Not stated,EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2024Q4,Not stated,United Kingdom,
Persons aged 15 years and over in Employment,2024Q4,Not stated,Ireland,
Persons aged 15 years and over in Employment,2024Q4,Not stated,All countries excluding Ireland,
Persons aged 15 years and over in Employment,2024Q4,Not stated,"All countries excluding Ireland,United Kingdom and EU272020",
