Statistic,Quarter,NACE Rev 2 Economic Sector,value
Proportion of total students in employment (PES),2024Q1,Other NACE activities (R to U),7.6
Proportion of total students in employment (PES),2024Q1,Industry and Construction (B to F),4.9
Proportion of total students in employment (PES),2024Q1,Services (G to U),87.7
Proportion of total students in employment (PES),2024Q1,Not stated,
Proportion of total students in employment (PES),2024Q2,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2024Q2,"Agriculture, forestry and fishing (A)",5.8
Proportion of total students in employment (PES),2024Q2,Construction (F),
Proportion of total students in employment (PES),2024Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),28.6
Proportion of total students in employment (PES),2024Q2,Transportation and storage (H),
Proportion of total students in employment (PES),2024Q2,Accommodation and food service activities (I),29.4
Proportion of total students in employment (PES),2024Q2,Information and communication (J),
Proportion of total students in employment (PES),2024Q2,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2024Q2,Administrative and support service activities (N),
Proportion of total students in employment (PES),2024Q2,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2024Q2,Education (P),5.6
Proportion of total students in employment (PES),2024Q2,Human health and social work activities (Q),4.7
Proportion of total students in employment (PES),2024Q2,Industry (B to E),
Proportion of total students in employment (PES),2024Q2,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2024Q2,Other NACE activities (R to U),8.8
Proportion of total students in employment (PES),2024Q2,Industry and Construction (B to F),6.2
Proportion of total students in employment (PES),2024Q2,Services (G to U),88.0
Proportion of total students in employment (PES),2024Q2,Not stated,
Proportion of total students in employment (PES),2024Q3,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2024Q3,"Agriculture, forestry and fishing (A)",6.4
Proportion of total students in employment (PES),2024Q3,Construction (F),
Proportion of total students in employment (PES),2024Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),27.4
Proportion of total students in employment (PES),2024Q3,Transportation and storage (H),
Proportion of total students in employment (PES),2024Q3,Accommodation and food service activities (I),31.2
Proportion of total students in employment (PES),2024Q3,Information and communication (J),
Proportion of total students in employment (PES),2024Q3,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2024Q3,Administrative and support service activities (N),
Proportion of total students in employment (PES),2024Q3,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2024Q3,Education (P),
Proportion of total students in employment (PES),2024Q3,Human health and social work activities (Q),
Proportion of total students in employment (PES),2024Q3,Industry (B to E),4.7
Proportion of total students in employment (PES),2024Q3,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2024Q3,Other NACE activities (R to U),9.6
Proportion of total students in employment (PES),2024Q3,Industry and Construction (B to F),7.6
Proportion of total students in employment (PES),2024Q3,Services (G to U),85.9
Proportion of total students in employment (PES),2024Q3,Not stated,
Proportion of total students in employment (PES),2024Q4,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2024Q4,"Agriculture, forestry and fishing (A)",4.8
Proportion of total students in employment (PES),2024Q4,Construction (F),
Proportion of total students in employment (PES),2024Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),31.6
Proportion of total students in employment (PES),2024Q4,Transportation and storage (H),
Proportion of total students in employment (PES),2024Q4,Accommodation and food service activities (I),30.5
Proportion of total students in employment (PES),2024Q4,Information and communication (J),
Proportion of total students in employment (PES),2024Q4,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2024Q4,Administrative and support service activities (N),
Proportion of total students in employment (PES),2024Q4,Public administration and defence; compulsory social security (O),
Proportion of total students in employment (PES),2024Q4,Education (P),6.4
Proportion of total students in employment (PES),2024Q4,Human health and social work activities (Q),
Proportion of total students in employment (PES),2024Q4,Industry (B to E),
Proportion of total students in employment (PES),2024Q4,"Financial, insurance and real estate activities (K, L)",
Proportion of total students in employment (PES),2024Q4,Other NACE activities (R to U),9.0
Proportion of total students in employment (PES),2024Q4,Industry and Construction (B to F),5.9
Proportion of total students in employment (PES),2024Q4,Services (G to U),89.0
Proportion of total students in employment (PES),2024Q4,Not stated,
Proportion of total students in employment (PES),2025Q1,All NACE economic sectors,100.0
Proportion of total students in employment (PES),2025Q1,"Agriculture, forestry and fishing (A)",
Proportion of total students in employment (PES),2025Q1,Construction (F),
Proportion of total students in employment (PES),2025Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),31.0
Proportion of total students in employment (PES),2025Q1,Transportation and storage (H),
Proportion of total students in employment (PES),2025Q1,Accommodation and food service activities (I),30.5
Proportion of total students in employment (PES),2025Q1,Information and communication (J),
Proportion of total students in employment (PES),2025Q1,"Professional, scientific and technical activities (M)",
Proportion of total students in employment (PES),2025Q1,Administrative and support service activities (N),
