Statistic,Quarter,Detailed Occupational Group,NACE Rev 2 Economic Sector,value
Persons aged 15 years and over in Employment (ILO),2017Q3,3 Associate professional and technical,Services (G to U),229.0
Persons aged 15 years and over in Employment (ILO),2017Q3,3 Associate professional and technical,Not stated,
Persons aged 15 years and over in Employment (ILO),2017Q3,4 Administrative and secreterial,All NACE economic sectors,212.2
Persons aged 15 years and over in Employment (ILO),2017Q3,4 Administrative and secreterial,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),2017Q3,4 Administrative and secreterial,Construction (F),5.1
Persons aged 15 years and over in Employment (ILO),2017Q3,4 Administrative and secreterial,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),19.7
Persons aged 15 years and over in Employment (ILO),2017Q3,4 Administrative and secreterial,Transportation and storage (H),10.3
Persons aged 15 years and over in Employment (ILO),2017Q3,4 Administrative and secreterial,Accommodation and food service activities (I),5.5
Persons aged 15 years and over in Employment (ILO),2017Q3,4 Administrative and secreterial,Information and communication (J),4.8
Persons aged 15 years and over in Employment (ILO),2017Q3,4 Administrative and secreterial,"Professional, scientific and technical activities (M)",21.9
Persons aged 15 years and over in Employment (ILO),2017Q3,4 Administrative and secreterial,Administrative and support service activities (N),6.2
Persons aged 15 years and over in Employment (ILO),2017Q3,4 Administrative and secreterial,Public administration and defence; compulsory social security (O),40.1
Persons aged 15 years and over in Employment (ILO),2017Q3,4 Administrative and secreterial,Education (P),9.5
Persons aged 15 years and over in Employment (ILO),2017Q3,4 Administrative and secreterial,Human health and social work activities (Q),29.0
Persons aged 15 years and over in Employment (ILO),2017Q3,4 Administrative and secreterial,Industry (B to E),17.1
Persons aged 15 years and over in Employment (ILO),2017Q3,4 Administrative and secreterial,"Financial, insurance and real estate activities (K, L)",27.8
Persons aged 15 years and over in Employment (ILO),2017Q3,4 Administrative and secreterial,Other NACE activities (R to U),12.5
Persons aged 15 years and over in Employment (ILO),2017Q3,4 Administrative and secreterial,Industry and Construction (B to F),22.3
Persons aged 15 years and over in Employment (ILO),2017Q3,4 Administrative and secreterial,Services (G to U),187.3
Persons aged 15 years and over in Employment (ILO),2017Q3,4 Administrative and secreterial,Not stated,
Persons aged 15 years and over in Employment (ILO),2017Q3,5 Skilled trades,All NACE economic sectors,316.0
Persons aged 15 years and over in Employment (ILO),2017Q3,5 Skilled trades,"Agriculture, forestry and fishing (A)",85.1
Persons aged 15 years and over in Employment (ILO),2017Q3,5 Skilled trades,Construction (F),83.1
Persons aged 15 years and over in Employment (ILO),2017Q3,5 Skilled trades,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),25.2
Persons aged 15 years and over in Employment (ILO),2017Q3,5 Skilled trades,Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),2017Q3,5 Skilled trades,Accommodation and food service activities (I),29.2
Persons aged 15 years and over in Employment (ILO),2017Q3,5 Skilled trades,Information and communication (J),5.5
Persons aged 15 years and over in Employment (ILO),2017Q3,5 Skilled trades,"Professional, scientific and technical activities (M)",6.4
Persons aged 15 years and over in Employment (ILO),2017Q3,5 Skilled trades,Administrative and support service activities (N),7.9
Persons aged 15 years and over in Employment (ILO),2017Q3,5 Skilled trades,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),2017Q3,5 Skilled trades,Education (P),
Persons aged 15 years and over in Employment (ILO),2017Q3,5 Skilled trades,Human health and social work activities (Q),5.5
Persons aged 15 years and over in Employment (ILO),2017Q3,5 Skilled trades,Industry (B to E),56.2
Persons aged 15 years and over in Employment (ILO),2017Q3,5 Skilled trades,"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment (ILO),2017Q3,5 Skilled trades,Other NACE activities (R to U),6.5
Persons aged 15 years and over in Employment (ILO),2017Q3,5 Skilled trades,Industry and Construction (B to F),139.3
Persons aged 15 years and over in Employment (ILO),2017Q3,5 Skilled trades,Services (G to U),91.7
Persons aged 15 years and over in Employment (ILO),2017Q3,5 Skilled trades,Not stated,
Persons aged 15 years and over in Employment (ILO),2017Q3,"6 Caring, leisure and other services",All NACE economic sectors,178.6
Persons aged 15 years and over in Employment (ILO),2017Q3,"6 Caring, leisure and other services","Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),2017Q3,"6 Caring, leisure and other services",Construction (F),
Persons aged 15 years and over in Employment (ILO),2017Q3,"6 Caring, leisure and other services",Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment (ILO),2017Q3,"6 Caring, leisure and other services",Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),2017Q3,"6 Caring, leisure and other services",Accommodation and food service activities (I),7.0
Persons aged 15 years and over in Employment (ILO),2017Q3,"6 Caring, leisure and other services",Information and communication (J),
Persons aged 15 years and over in Employment (ILO),2017Q3,"6 Caring, leisure and other services","Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment (ILO),2017Q3,"6 Caring, leisure and other services",Administrative and support service activities (N),8.3
Persons aged 15 years and over in Employment (ILO),2017Q3,"6 Caring, leisure and other services",Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),2017Q3,"6 Caring, leisure and other services",Education (P),20.2
Persons aged 15 years and over in Employment (ILO),2017Q3,"6 Caring, leisure and other services",Human health and social work activities (Q),91.1
Persons aged 15 years and over in Employment (ILO),2017Q3,"6 Caring, leisure and other services",Industry (B to E),
Persons aged 15 years and over in Employment (ILO),2017Q3,"6 Caring, leisure and other services","Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment (ILO),2017Q3,"6 Caring, leisure and other services",Other NACE activities (R to U),43.5
Persons aged 15 years and over in Employment (ILO),2017Q3,"6 Caring, leisure and other services",Industry and Construction (B to F),
Persons aged 15 years and over in Employment (ILO),2017Q3,"6 Caring, leisure and other services",Services (G to U),177.6
Persons aged 15 years and over in Employment (ILO),2017Q3,"6 Caring, leisure and other services",Not stated,
Persons aged 15 years and over in Employment (ILO),2017Q3,7 Sales and customer service,All NACE economic sectors,175.4
Persons aged 15 years and over in Employment (ILO),2017Q3,7 Sales and customer service,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),2017Q3,7 Sales and customer service,Construction (F),
Persons aged 15 years and over in Employment (ILO),2017Q3,7 Sales and customer service,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),142.3
Persons aged 15 years and over in Employment (ILO),2017Q3,7 Sales and customer service,Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),2017Q3,7 Sales and customer service,Accommodation and food service activities (I),
Persons aged 15 years and over in Employment (ILO),2017Q3,7 Sales and customer service,Information and communication (J),6.8
Persons aged 15 years and over in Employment (ILO),2017Q3,7 Sales and customer service,"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment (ILO),2017Q3,7 Sales and customer service,Administrative and support service activities (N),9.0
Persons aged 15 years and over in Employment (ILO),2017Q3,7 Sales and customer service,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),2017Q3,7 Sales and customer service,Education (P),
Persons aged 15 years and over in Employment (ILO),2017Q3,7 Sales and customer service,Human health and social work activities (Q),
Persons aged 15 years and over in Employment (ILO),2017Q3,7 Sales and customer service,Industry (B to E),
Persons aged 15 years and over in Employment (ILO),2017Q3,7 Sales and customer service,"Financial, insurance and real estate activities (K, L)",6.0
Persons aged 15 years and over in Employment (ILO),2017Q3,7 Sales and customer service,Other NACE activities (R to U),
Persons aged 15 years and over in Employment (ILO),2017Q3,7 Sales and customer service,Industry and Construction (B to F),
Persons aged 15 years and over in Employment (ILO),2017Q3,7 Sales and customer service,Services (G to U),171.9
Persons aged 15 years and over in Employment (ILO),2017Q3,7 Sales and customer service,Not stated,
Persons aged 15 years and over in Employment (ILO),2017Q3,"8 Process, plant and machine operatives",All NACE economic sectors,165.2
Persons aged 15 years and over in Employment (ILO),2017Q3,"8 Process, plant and machine operatives","Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),2017Q3,"8 Process, plant and machine operatives",Construction (F),13.1
Persons aged 15 years and over in Employment (ILO),2017Q3,"8 Process, plant and machine operatives",Wholesale and retail trade; repair of motor vehicles and motorcycles (G),14.4
Persons aged 15 years and over in Employment (ILO),2017Q3,"8 Process, plant and machine operatives",Transportation and storage (H),43.2
Persons aged 15 years and over in Employment (ILO),2017Q3,"8 Process, plant and machine operatives",Accommodation and food service activities (I),
Persons aged 15 years and over in Employment (ILO),2017Q3,"8 Process, plant and machine operatives",Information and communication (J),
Persons aged 15 years and over in Employment (ILO),2017Q3,"8 Process, plant and machine operatives","Professional, scientific and technical activities (M)",
