Statistic,Quarter,Reasons for being in Part-Time Employment,Sex,value
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q3,Illness or disability,Female,8.6
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q3,Looking after children or incapacitated adults,Both sexes,103.8
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q3,Looking after children or incapacitated adults,Male,5.8
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q3,Looking after children or incapacitated adults,Female,98.0
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q3,Other personal or family reasons,Both sexes,76.2
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q3,Other personal or family reasons,Male,16.8
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q3,Other personal or family reasons,Female,59.4
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q3,Could not find full-time employment,Both sexes,49.0
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q3,Could not find full-time employment,Male,22.0
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q3,Could not find full-time employment,Female,27.1
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q3,Other reasons,Both sexes,142.6
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q3,Other reasons,Male,60.4
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q3,Other reasons,Female,82.2
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q3,No answer given,Both sexes,24.7
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q3,No answer given,Male,7.1
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q3,No answer given,Female,17.6
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q4,All reasons for being in part-time employment,Both sexes,561.3
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q4,All reasons for being in part-time employment,Male,176.9
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q4,All reasons for being in part-time employment,Female,384.4
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q4,"School, education or training",Both sexes,139.8
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q4,"School, education or training",Male,59.6
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q4,"School, education or training",Female,80.2
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q4,Illness or disability,Both sexes,23.9
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q4,Illness or disability,Male,12.8
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q4,Illness or disability,Female,11.1
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q4,Looking after children or incapacitated adults,Both sexes,118.8
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q4,Looking after children or incapacitated adults,Male,6.4
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q4,Looking after children or incapacitated adults,Female,112.4
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q4,Other personal or family reasons,Both sexes,79.1
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q4,Other personal or family reasons,Male,16.3
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q4,Other personal or family reasons,Female,62.7
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q4,Could not find full-time employment,Both sexes,49.2
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q4,Could not find full-time employment,Male,21.8
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q4,Could not find full-time employment,Female,27.4
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q4,Other reasons,Both sexes,128.0
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q4,Other reasons,Male,52.9
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q4,Other reasons,Female,75.1
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q4,No answer given,Both sexes,22.5
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q4,No answer given,Male,7.1
Persons aged 15 years and over in Part-Time Employment (ILO),2022Q4,No answer given,Female,15.4
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q1,All reasons for being in part-time employment,Both sexes,570.8
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q1,All reasons for being in part-time employment,Male,181.9
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q1,All reasons for being in part-time employment,Female,388.8
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q1,"School, education or training",Both sexes,143.8
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q1,"School, education or training",Male,63.8
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q1,"School, education or training",Female,80.0
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q1,Illness or disability,Both sexes,22.1
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q1,Illness or disability,Male,12.6
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q1,Illness or disability,Female,9.5
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q1,Looking after children or incapacitated adults,Both sexes,126.1
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q1,Looking after children or incapacitated adults,Male,8.3
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q1,Looking after children or incapacitated adults,Female,117.8
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q1,Other personal or family reasons,Both sexes,84.7
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q1,Other personal or family reasons,Male,18.6
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q1,Other personal or family reasons,Female,66.1
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q1,Could not find full-time employment,Both sexes,43.8
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q1,Could not find full-time employment,Male,17.4
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q1,Could not find full-time employment,Female,26.4
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q1,Other reasons,Both sexes,127.9
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q1,Other reasons,Male,53.2
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q1,Other reasons,Female,74.8
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q1,No answer given,Both sexes,22.3
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q1,No answer given,Male,8.1
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q1,No answer given,Female,14.2
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q2,All reasons for being in part-time employment,Both sexes,565.1
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q2,All reasons for being in part-time employment,Male,170.0
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q2,All reasons for being in part-time employment,Female,395.1
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q2,"School, education or training",Both sexes,136.9
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q2,"School, education or training",Male,58.4
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q2,"School, education or training",Female,78.5
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q2,Illness or disability,Both sexes,18.5
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q2,Illness or disability,Male,8.4
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q2,Illness or disability,Female,10.0
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q2,Looking after children or incapacitated adults,Both sexes,131.2
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q2,Looking after children or incapacitated adults,Male,9.3
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q2,Looking after children or incapacitated adults,Female,121.9
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q2,Other personal or family reasons,Both sexes,80.6
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q2,Other personal or family reasons,Male,16.4
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q2,Other personal or family reasons,Female,64.3
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q2,Could not find full-time employment,Both sexes,47.6
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q2,Could not find full-time employment,Male,21.4
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q2,Could not find full-time employment,Female,26.2
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q2,Other reasons,Both sexes,128.7
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q2,Other reasons,Male,51.0
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q2,Other reasons,Female,77.7
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q2,No answer given,Both sexes,21.5
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q2,No answer given,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q2,No answer given,Female,16.5
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q3,All reasons for being in part-time employment,Both sexes,581.9
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q3,All reasons for being in part-time employment,Male,180.0
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q3,All reasons for being in part-time employment,Female,401.9
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q3,"School, education or training",Both sexes,137.4
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q3,"School, education or training",Male,59.1
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q3,"School, education or training",Female,78.3
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q3,Illness or disability,Both sexes,25.1
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q3,Illness or disability,Male,12.4
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q3,Illness or disability,Female,12.7
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q3,Looking after children or incapacitated adults,Both sexes,133.0
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q3,Looking after children or incapacitated adults,Male,10.2
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q3,Looking after children or incapacitated adults,Female,122.8
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q3,Other personal or family reasons,Both sexes,83.7
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q3,Other personal or family reasons,Male,16.8
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q3,Other personal or family reasons,Female,66.9
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q3,Could not find full-time employment,Both sexes,48.5
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q3,Could not find full-time employment,Male,22.9
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q3,Could not find full-time employment,Female,25.6
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q3,Other reasons,Both sexes,128.3
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q3,Other reasons,Male,49.3
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q3,Other reasons,Female,79.0
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q3,No answer given,Both sexes,26.0
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q3,No answer given,Male,9.4
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q3,No answer given,Female,16.6
Persons aged 15 years and over in Part-Time Employment (ILO),2023Q4,All reasons for being in part-time employment,Both sexes,592.4
