Statistic,Nationality,NACE Rev 2 Economic Sector,Quarter,value
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2014Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2014Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2014Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2015Q1,3.4
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2015Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2015Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2015Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2016Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2016Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2016Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2016Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2017Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2017Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2017Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2017Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2018Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2018Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2018Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2018Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2019Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2019Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2019Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",2019Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),1998Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),1998Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),1998Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),1998Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),1999Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),1999Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),1999Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),1999Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2000Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2000Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2000Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2000Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2001Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2001Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2001Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2001Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2002Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2002Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2002Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2002Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2003Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2003Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2003Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2003Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2004Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2004Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2004Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2004Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2005Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2005Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2005Q3,
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2005Q4,
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2006Q1,
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2006Q2,
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2006Q3,5.0
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2006Q4,5.0
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2007Q1,4.7
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2007Q2,3.7
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2007Q3,4.4
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2007Q4,5.5
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2008Q1,4.1
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2008Q2,4.4
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2008Q3,4.8
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2008Q4,5.0
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2009Q1,4.1
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2009Q2,3.2
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2009Q3,3.8
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2009Q4,4.6
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2010Q1,4.3
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2010Q2,4.0
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2010Q3,5.0
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2010Q4,3.7
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2011Q1,5.0
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2011Q2,5.1
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2011Q3,4.2
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2011Q4,5.4
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2012Q1,5.3
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2012Q2,5.3
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2012Q3,3.9
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2012Q4,4.3
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2013Q1,5.0
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2013Q2,5.1
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2013Q3,5.6
Persons aged 15 years and over in Employment,Other nationalities (7),Other NACE activities (R to U),2013Q4,5.1
