Statistic,Quarter,Sex,NACE Rev 2 Economic Sector,value
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Female,Transportation and storage (H),21.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Female,Accommodation and food service activities (I),66.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Female,Information and communication (J),39.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Female,"Professional, scientific and technical activities (M)",65.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Female,Administrative and support service activities (N),32.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Female,"Public administration and defence, compulsory social security (O)",64.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Female,Education (P),144.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Female,Human health and social work activities (Q),230.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Female,Industry (B to E),89.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Female,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Female,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Female,"Financial, insurance and real estate activities (K,L)",63.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Female,Other NACE activities (R to U),60.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2020Q4,Female,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Both sexes,All NACE economic sectors,2276.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Both sexes,"Agriculture, forestry and fishing (A)",108.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Both sexes,Construction (F),126.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",307.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Both sexes,Transportation and storage (H),93.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Both sexes,Accommodation and food service activities (I),107.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Both sexes,Information and communication (J),144.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Both sexes,"Professional, scientific and technical activities (M)",149.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Both sexes,Administrative and support service activities (N),82.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Both sexes,"Public administration and defence, compulsory social security (O)",125.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Both sexes,Education (P),208.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Both sexes,Human health and social work activities (Q),301.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Both sexes,Industry (B to E),309.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Both sexes,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Both sexes,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",124.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Both sexes,Other NACE activities (R to U),83.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Both sexes,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Male,All NACE economic sectors,1227.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Male,"Agriculture, forestry and fishing (A)",92.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Male,Construction (F),116.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",162.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Male,Transportation and storage (H),70.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Male,Accommodation and food service activities (I),50.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Male,Information and communication (J),102.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Male,"Professional, scientific and technical activities (M)",80.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Male,Administrative and support service activities (N),50.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Male,"Public administration and defence, compulsory social security (O)",58.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Male,Education (P),54.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Male,Human health and social work activities (Q),64.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Male,Industry (B to E),220.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Male,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Male,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Male,"Financial, insurance and real estate activities (K,L)",62.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Male,Other NACE activities (R to U),35.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Male,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Female,All NACE economic sectors,1048.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Female,"Agriculture, forestry and fishing (A)",15.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Female,Construction (F),9.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",141.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Female,Transportation and storage (H),21.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Female,Accommodation and food service activities (I),54.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Female,Information and communication (J),40.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Female,"Professional, scientific and technical activities (M)",68.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Female,Administrative and support service activities (N),32.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Female,"Public administration and defence, compulsory social security (O)",67.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Female,Education (P),153.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Female,Human health and social work activities (Q),237.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Female,Industry (B to E),89.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Female,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Female,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Female,"Financial, insurance and real estate activities (K,L)",63.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Female,Other NACE activities (R to U),49.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q1,Female,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Both sexes,All NACE economic sectors,2375.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Both sexes,"Agriculture, forestry and fishing (A)",111.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Both sexes,Construction (F),130.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",310.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Both sexes,Transportation and storage (H),101.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Both sexes,Accommodation and food service activities (I),119.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Both sexes,Information and communication (J),145.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Both sexes,"Professional, scientific and technical activities (M)",158.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Both sexes,Administrative and support service activities (N),96.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Both sexes,"Public administration and defence, compulsory social security (O)",129.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Both sexes,Education (P),214.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Both sexes,Human health and social work activities (Q),311.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Both sexes,Industry (B to E),316.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Both sexes,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Both sexes,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Both sexes,"Financial, insurance and real estate activities (K,L)",131.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Both sexes,Other NACE activities (R to U),99.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Both sexes,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Male,All NACE economic sectors,1282.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Male,"Agriculture, forestry and fishing (A)",95.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Male,Construction (F),119.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",158.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Male,Transportation and storage (H),81.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Male,Accommodation and food service activities (I),58.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Male,Information and communication (J),101.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Male,"Professional, scientific and technical activities (M)",85.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Male,Administrative and support service activities (N),62.4
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Male,"Public administration and defence, compulsory social security (O)",60.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Male,Education (P),53.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Male,Human health and social work activities (Q),63.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Male,Industry (B to E),224.8
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Male,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Male,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Male,"Financial, insurance and real estate activities (K,L)",67.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Male,Other NACE activities (R to U),46.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Male,Not stated,
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Female,All NACE economic sectors,1094.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Female,"Agriculture, forestry and fishing (A)",14.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Female,Construction (F),10.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",148.3
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Female,Transportation and storage (H),20.2
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Female,Accommodation and food service activities (I),62.0
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Female,Information and communication (J),41.9
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Female,"Professional, scientific and technical activities (M)",72.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Female,Administrative and support service activities (N),34.1
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Female,"Public administration and defence, compulsory social security (O)",70.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Female,Education (P),159.6
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Female,Human health and social work activities (Q),249.5
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Female,Industry (B to E),91.7
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Female,Industry and Construction (B to F),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Female,Services (G to U),
Persons aged 15-89 years in Employment (Seasonally Adjusted),2021Q2,Female,"Financial, insurance and real estate activities (K,L)",64.8
