Statistic,Quarter,Age Group,Sex,value
Unemployed Persons aged 15 years and over,2009Q3,35 - 44 years,Female,22.2
Unemployed Persons aged 15 years and over,2009Q3,45 - 54 years,Both sexes,41.5
Unemployed Persons aged 15 years and over,2009Q3,45 - 54 years,Male,27.1
Unemployed Persons aged 15 years and over,2009Q3,45 - 54 years,Female,14.4
Unemployed Persons aged 15 years and over,2009Q3,55 - 59 years,Both sexes,12.0
Unemployed Persons aged 15 years and over,2009Q3,55 - 59 years,Male,7.4
Unemployed Persons aged 15 years and over,2009Q3,55 - 59 years,Female,4.6
Unemployed Persons aged 15 years and over,2009Q3,60 - 64 years,Both sexes,5.6
Unemployed Persons aged 15 years and over,2009Q3,60 - 64 years,Male,4.3
Unemployed Persons aged 15 years and over,2009Q3,60 - 64 years,Female,
Unemployed Persons aged 15 years and over,2009Q3,65 years and over,Both sexes,
Unemployed Persons aged 15 years and over,2009Q3,65 years and over,Male,
Unemployed Persons aged 15 years and over,2009Q3,65 years and over,Female,
Unemployed Persons aged 15 years and over,2009Q3,25 - 74 years,Both sexes,211.8
Unemployed Persons aged 15 years and over,2009Q3,25 - 74 years,Male,136.3
Unemployed Persons aged 15 years and over,2009Q3,25 - 74 years,Female,75.5
Unemployed Persons aged 15 years and over,2009Q4,15 - 19 years,Both sexes,28.7
Unemployed Persons aged 15 years and over,2009Q4,15 - 19 years,Male,19.8
Unemployed Persons aged 15 years and over,2009Q4,15 - 19 years,Female,8.9
Unemployed Persons aged 15 years and over,2009Q4,15 - 24 years,Both sexes,94.4
Unemployed Persons aged 15 years and over,2009Q4,15 - 24 years,Male,65.0
Unemployed Persons aged 15 years and over,2009Q4,15 - 24 years,Female,29.4
Unemployed Persons aged 15 years and over,2009Q4,15 - 64 years,Both sexes,
Unemployed Persons aged 15 years and over,2009Q4,15 - 64 years,Male,
Unemployed Persons aged 15 years and over,2009Q4,15 - 64 years,Female,
Unemployed Persons aged 15 years and over,2009Q4,15 - 74 years,Both sexes,
Unemployed Persons aged 15 years and over,2009Q4,15 - 74 years,Male,
Unemployed Persons aged 15 years and over,2009Q4,15 - 74 years,Female,
Unemployed Persons aged 15 years and over,2009Q4,15 years and over,Both sexes,300.9
Unemployed Persons aged 15 years and over,2009Q4,15 years and over,Male,202.2
Unemployed Persons aged 15 years and over,2009Q4,15 years and over,Female,98.7
Unemployed Persons aged 15 years and over,2009Q4,20 - 24 years,Both sexes,65.7
Unemployed Persons aged 15 years and over,2009Q4,20 - 24 years,Male,45.3
Unemployed Persons aged 15 years and over,2009Q4,20 - 24 years,Female,20.5
Unemployed Persons aged 15 years and over,2009Q4,25 - 34 years,Both sexes,88.2
Unemployed Persons aged 15 years and over,2009Q4,25 - 34 years,Male,59.1
Unemployed Persons aged 15 years and over,2009Q4,25 - 34 years,Female,29.1
Unemployed Persons aged 15 years and over,2009Q4,35 - 44 years,Both sexes,60.2
Unemployed Persons aged 15 years and over,2009Q4,35 - 44 years,Male,39.2
Unemployed Persons aged 15 years and over,2009Q4,35 - 44 years,Female,21.0
Unemployed Persons aged 15 years and over,2009Q4,45 - 54 years,Both sexes,40.2
Unemployed Persons aged 15 years and over,2009Q4,45 - 54 years,Male,26.4
Unemployed Persons aged 15 years and over,2009Q4,45 - 54 years,Female,13.8
Unemployed Persons aged 15 years and over,2009Q4,55 - 59 years,Both sexes,11.2
Unemployed Persons aged 15 years and over,2009Q4,55 - 59 years,Male,7.4
Unemployed Persons aged 15 years and over,2009Q4,55 - 59 years,Female,3.9
Unemployed Persons aged 15 years and over,2009Q4,60 - 64 years,Both sexes,6.4
Unemployed Persons aged 15 years and over,2009Q4,60 - 64 years,Male,4.8
Unemployed Persons aged 15 years and over,2009Q4,60 - 64 years,Female,
Unemployed Persons aged 15 years and over,2009Q4,65 years and over,Both sexes,
Unemployed Persons aged 15 years and over,2009Q4,65 years and over,Male,
Unemployed Persons aged 15 years and over,2009Q4,65 years and over,Female,
Unemployed Persons aged 15 years and over,2009Q4,25 - 74 years,Both sexes,206.5
Unemployed Persons aged 15 years and over,2009Q4,25 - 74 years,Male,137.1
Unemployed Persons aged 15 years and over,2009Q4,25 - 74 years,Female,69.4
Unemployed Persons aged 15 years and over,2010Q1,15 - 19 years,Both sexes,21.1
Unemployed Persons aged 15 years and over,2010Q1,15 - 19 years,Male,13.9
Unemployed Persons aged 15 years and over,2010Q1,15 - 19 years,Female,7.2
Unemployed Persons aged 15 years and over,2010Q1,15 - 24 years,Both sexes,85.1
Unemployed Persons aged 15 years and over,2010Q1,15 - 24 years,Male,58.5
Unemployed Persons aged 15 years and over,2010Q1,15 - 24 years,Female,26.5
Unemployed Persons aged 15 years and over,2010Q1,15 - 64 years,Both sexes,
Unemployed Persons aged 15 years and over,2010Q1,15 - 64 years,Male,
Unemployed Persons aged 15 years and over,2010Q1,15 - 64 years,Female,
Unemployed Persons aged 15 years and over,2010Q1,15 - 74 years,Both sexes,
Unemployed Persons aged 15 years and over,2010Q1,15 - 74 years,Male,
Unemployed Persons aged 15 years and over,2010Q1,15 - 74 years,Female,
Unemployed Persons aged 15 years and over,2010Q1,15 years and over,Both sexes,306.2
Unemployed Persons aged 15 years and over,2010Q1,15 years and over,Male,206.1
Unemployed Persons aged 15 years and over,2010Q1,15 years and over,Female,100.1
Unemployed Persons aged 15 years and over,2010Q1,20 - 24 years,Both sexes,63.9
Unemployed Persons aged 15 years and over,2010Q1,20 - 24 years,Male,44.6
Unemployed Persons aged 15 years and over,2010Q1,20 - 24 years,Female,19.3
Unemployed Persons aged 15 years and over,2010Q1,25 - 34 years,Both sexes,91.8
Unemployed Persons aged 15 years and over,2010Q1,25 - 34 years,Male,61.0
Unemployed Persons aged 15 years and over,2010Q1,25 - 34 years,Female,30.9
Unemployed Persons aged 15 years and over,2010Q1,35 - 44 years,Both sexes,64.6
Unemployed Persons aged 15 years and over,2010Q1,35 - 44 years,Male,42.6
Unemployed Persons aged 15 years and over,2010Q1,35 - 44 years,Female,22.1
Unemployed Persons aged 15 years and over,2010Q1,45 - 54 years,Both sexes,43.2
Unemployed Persons aged 15 years and over,2010Q1,45 - 54 years,Male,30.2
Unemployed Persons aged 15 years and over,2010Q1,45 - 54 years,Female,13.0
Unemployed Persons aged 15 years and over,2010Q1,55 - 59 years,Both sexes,12.6
Unemployed Persons aged 15 years and over,2010Q1,55 - 59 years,Male,7.4
Unemployed Persons aged 15 years and over,2010Q1,55 - 59 years,Female,5.2
Unemployed Persons aged 15 years and over,2010Q1,60 - 64 years,Both sexes,8.0
Unemployed Persons aged 15 years and over,2010Q1,60 - 64 years,Male,5.8
Unemployed Persons aged 15 years and over,2010Q1,60 - 64 years,Female,
Unemployed Persons aged 15 years and over,2010Q1,65 years and over,Both sexes,
Unemployed Persons aged 15 years and over,2010Q1,65 years and over,Male,
Unemployed Persons aged 15 years and over,2010Q1,65 years and over,Female,
Unemployed Persons aged 15 years and over,2010Q1,25 - 74 years,Both sexes,221.1
Unemployed Persons aged 15 years and over,2010Q1,25 - 74 years,Male,147.6
Unemployed Persons aged 15 years and over,2010Q1,25 - 74 years,Female,73.5
Unemployed Persons aged 15 years and over,2010Q2,15 - 19 years,Both sexes,31.6
Unemployed Persons aged 15 years and over,2010Q2,15 - 19 years,Male,19.1
Unemployed Persons aged 15 years and over,2010Q2,15 - 19 years,Female,12.6
Unemployed Persons aged 15 years and over,2010Q2,15 - 24 years,Both sexes,97.7
Unemployed Persons aged 15 years and over,2010Q2,15 - 24 years,Male,62.9
Unemployed Persons aged 15 years and over,2010Q2,15 - 24 years,Female,34.8
Unemployed Persons aged 15 years and over,2010Q2,15 - 64 years,Both sexes,
Unemployed Persons aged 15 years and over,2010Q2,15 - 64 years,Male,
Unemployed Persons aged 15 years and over,2010Q2,15 - 64 years,Female,
Unemployed Persons aged 15 years and over,2010Q2,15 - 74 years,Both sexes,
Unemployed Persons aged 15 years and over,2010Q2,15 - 74 years,Male,
Unemployed Persons aged 15 years and over,2010Q2,15 - 74 years,Female,
Unemployed Persons aged 15 years and over,2010Q2,15 years and over,Both sexes,331.0
Unemployed Persons aged 15 years and over,2010Q2,15 years and over,Male,213.4
Unemployed Persons aged 15 years and over,2010Q2,15 years and over,Female,117.6
Unemployed Persons aged 15 years and over,2010Q2,20 - 24 years,Both sexes,66.0
Unemployed Persons aged 15 years and over,2010Q2,20 - 24 years,Male,43.8
Unemployed Persons aged 15 years and over,2010Q2,20 - 24 years,Female,22.2
Unemployed Persons aged 15 years and over,2010Q2,25 - 34 years,Both sexes,96.2
Unemployed Persons aged 15 years and over,2010Q2,25 - 34 years,Male,61.0
Unemployed Persons aged 15 years and over,2010Q2,25 - 34 years,Female,35.3
Unemployed Persons aged 15 years and over,2010Q2,35 - 44 years,Both sexes,67.9
Unemployed Persons aged 15 years and over,2010Q2,35 - 44 years,Male,43.4
Unemployed Persons aged 15 years and over,2010Q2,35 - 44 years,Female,24.6
Unemployed Persons aged 15 years and over,2010Q2,45 - 54 years,Both sexes,47.3
Unemployed Persons aged 15 years and over,2010Q2,45 - 54 years,Male,31.5
Unemployed Persons aged 15 years and over,2010Q2,45 - 54 years,Female,15.8
Unemployed Persons aged 15 years and over,2010Q2,55 - 59 years,Both sexes,13.5
Unemployed Persons aged 15 years and over,2010Q2,55 - 59 years,Male,8.8
Unemployed Persons aged 15 years and over,2010Q2,55 - 59 years,Female,4.7
Unemployed Persons aged 15 years and over,2010Q2,60 - 64 years,Both sexes,7.6
Unemployed Persons aged 15 years and over,2010Q2,60 - 64 years,Male,5.6
Unemployed Persons aged 15 years and over,2010Q2,60 - 64 years,Female,
Unemployed Persons aged 15 years and over,2010Q2,65 years and over,Both sexes,
Unemployed Persons aged 15 years and over,2010Q2,65 years and over,Male,
Unemployed Persons aged 15 years and over,2010Q2,65 years and over,Female,
Unemployed Persons aged 15 years and over,2010Q2,25 - 74 years,Both sexes,233.4
Unemployed Persons aged 15 years and over,2010Q2,25 - 74 years,Male,150.5
Unemployed Persons aged 15 years and over,2010Q2,25 - 74 years,Female,82.8
Unemployed Persons aged 15 years and over,2010Q3,15 - 19 years,Both sexes,31.7
Unemployed Persons aged 15 years and over,2010Q3,15 - 19 years,Male,18.9
Unemployed Persons aged 15 years and over,2010Q3,15 - 19 years,Female,12.7
Unemployed Persons aged 15 years and over,2010Q3,15 - 24 years,Both sexes,95.8
Unemployed Persons aged 15 years and over,2010Q3,15 - 24 years,Male,60.9
Unemployed Persons aged 15 years and over,2010Q3,15 - 24 years,Female,34.8
Unemployed Persons aged 15 years and over,2010Q3,15 - 64 years,Both sexes,
Unemployed Persons aged 15 years and over,2010Q3,15 - 64 years,Male,
Unemployed Persons aged 15 years and over,2010Q3,15 - 64 years,Female,
Unemployed Persons aged 15 years and over,2010Q3,15 - 74 years,Both sexes,
Unemployed Persons aged 15 years and over,2010Q3,15 - 74 years,Male,
Unemployed Persons aged 15 years and over,2010Q3,15 - 74 years,Female,
Unemployed Persons aged 15 years and over,2010Q3,15 years and over,Both sexes,336.8
Unemployed Persons aged 15 years and over,2010Q3,15 years and over,Male,214.6
Unemployed Persons aged 15 years and over,2010Q3,15 years and over,Female,122.2
Unemployed Persons aged 15 years and over,2010Q3,20 - 24 years,Both sexes,64.1
Unemployed Persons aged 15 years and over,2010Q3,20 - 24 years,Male,42.0
Unemployed Persons aged 15 years and over,2010Q3,20 - 24 years,Female,22.1
Unemployed Persons aged 15 years and over,2010Q3,25 - 34 years,Both sexes,97.1
Unemployed Persons aged 15 years and over,2010Q3,25 - 34 years,Male,62.3
Unemployed Persons aged 15 years and over,2010Q3,25 - 34 years,Female,34.8
Unemployed Persons aged 15 years and over,2010Q3,35 - 44 years,Both sexes,70.7
Unemployed Persons aged 15 years and over,2010Q3,35 - 44 years,Male,43.2
Unemployed Persons aged 15 years and over,2010Q3,35 - 44 years,Female,27.4
Unemployed Persons aged 15 years and over,2010Q3,45 - 54 years,Both sexes,49.7
Unemployed Persons aged 15 years and over,2010Q3,45 - 54 years,Male,32.4
Unemployed Persons aged 15 years and over,2010Q3,45 - 54 years,Female,17.3
Unemployed Persons aged 15 years and over,2010Q3,55 - 59 years,Both sexes,14.1
Unemployed Persons aged 15 years and over,2010Q3,55 - 59 years,Male,8.6
Unemployed Persons aged 15 years and over,2010Q3,55 - 59 years,Female,5.4
Unemployed Persons aged 15 years and over,2010Q3,60 - 64 years,Both sexes,8.5
Unemployed Persons aged 15 years and over,2010Q3,60 - 64 years,Male,6.6
Unemployed Persons aged 15 years and over,2010Q3,60 - 64 years,Female,
Unemployed Persons aged 15 years and over,2010Q3,65 years and over,Both sexes,
Unemployed Persons aged 15 years and over,2010Q3,65 years and over,Male,
Unemployed Persons aged 15 years and over,2010Q3,65 years and over,Female,
Unemployed Persons aged 15 years and over,2010Q3,25 - 74 years,Both sexes,241.0
Unemployed Persons aged 15 years and over,2010Q3,25 - 74 years,Male,153.7
Unemployed Persons aged 15 years and over,2010Q3,25 - 74 years,Female,87.3
Unemployed Persons aged 15 years and over,2010Q4,15 - 19 years,Both sexes,28.0
Unemployed Persons aged 15 years and over,2010Q4,15 - 19 years,Male,16.6
Unemployed Persons aged 15 years and over,2010Q4,15 - 19 years,Female,11.4
Unemployed Persons aged 15 years and over,2010Q4,15 - 24 years,Both sexes,91.1
Unemployed Persons aged 15 years and over,2010Q4,15 - 24 years,Male,56.3
Unemployed Persons aged 15 years and over,2010Q4,15 - 24 years,Female,34.8
Unemployed Persons aged 15 years and over,2010Q4,15 - 64 years,Both sexes,
Unemployed Persons aged 15 years and over,2010Q4,15 - 64 years,Male,
Unemployed Persons aged 15 years and over,2010Q4,15 - 64 years,Female,
Unemployed Persons aged 15 years and over,2010Q4,15 - 74 years,Both sexes,
Unemployed Persons aged 15 years and over,2010Q4,15 - 74 years,Male,
Unemployed Persons aged 15 years and over,2010Q4,15 - 74 years,Female,
Unemployed Persons aged 15 years and over,2010Q4,15 years and over,Both sexes,335.7
Unemployed Persons aged 15 years and over,2010Q4,15 years and over,Male,215.0
Unemployed Persons aged 15 years and over,2010Q4,15 years and over,Female,120.7
Unemployed Persons aged 15 years and over,2010Q4,20 - 24 years,Both sexes,63.1
Unemployed Persons aged 15 years and over,2010Q4,20 - 24 years,Male,39.7
Unemployed Persons aged 15 years and over,2010Q4,20 - 24 years,Female,23.4
Unemployed Persons aged 15 years and over,2010Q4,25 - 34 years,Both sexes,99.7
Unemployed Persons aged 15 years and over,2010Q4,25 - 34 years,Male,64.4
Unemployed Persons aged 15 years and over,2010Q4,25 - 34 years,Female,35.2
Unemployed Persons aged 15 years and over,2010Q4,35 - 44 years,Both sexes,73.3
Unemployed Persons aged 15 years and over,2010Q4,35 - 44 years,Male,45.4
Unemployed Persons aged 15 years and over,2010Q4,35 - 44 years,Female,27.9
Unemployed Persons aged 15 years and over,2010Q4,45 - 54 years,Both sexes,46.9
Unemployed Persons aged 15 years and over,2010Q4,45 - 54 years,Male,31.3
Unemployed Persons aged 15 years and over,2010Q4,45 - 54 years,Female,15.5
Unemployed Persons aged 15 years and over,2010Q4,55 - 59 years,Both sexes,14.7
Unemployed Persons aged 15 years and over,2010Q4,55 - 59 years,Male,9.6
Unemployed Persons aged 15 years and over,2010Q4,55 - 59 years,Female,5.1
Unemployed Persons aged 15 years and over,2010Q4,60 - 64 years,Both sexes,9.0
Unemployed Persons aged 15 years and over,2010Q4,60 - 64 years,Male,7.3
Unemployed Persons aged 15 years and over,2010Q4,60 - 64 years,Female,
Unemployed Persons aged 15 years and over,2010Q4,65 years and over,Both sexes,
Unemployed Persons aged 15 years and over,2010Q4,65 years and over,Male,
Unemployed Persons aged 15 years and over,2010Q4,65 years and over,Female,
Unemployed Persons aged 15 years and over,2010Q4,25 - 74 years,Both sexes,244.6
Unemployed Persons aged 15 years and over,2010Q4,25 - 74 years,Male,158.7
Unemployed Persons aged 15 years and over,2010Q4,25 - 74 years,Female,85.9
Unemployed Persons aged 15 years and over,2011Q1,15 - 19 years,Both sexes,23.5
Unemployed Persons aged 15 years and over,2011Q1,15 - 19 years,Male,14.3
Unemployed Persons aged 15 years and over,2011Q1,15 - 19 years,Female,9.2
Unemployed Persons aged 15 years and over,2011Q1,15 - 24 years,Both sexes,81.7
Unemployed Persons aged 15 years and over,2011Q1,15 - 24 years,Male,53.1
Unemployed Persons aged 15 years and over,2011Q1,15 - 24 years,Female,28.6
Unemployed Persons aged 15 years and over,2011Q1,15 - 64 years,Both sexes,
Unemployed Persons aged 15 years and over,2011Q1,15 - 64 years,Male,
Unemployed Persons aged 15 years and over,2011Q1,15 - 64 years,Female,
Unemployed Persons aged 15 years and over,2011Q1,15 - 74 years,Both sexes,
Unemployed Persons aged 15 years and over,2011Q1,15 - 74 years,Male,
Unemployed Persons aged 15 years and over,2011Q1,15 - 74 years,Female,
Unemployed Persons aged 15 years and over,2011Q1,15 years and over,Both sexes,331.1
Unemployed Persons aged 15 years and over,2011Q1,15 years and over,Male,213.4
Unemployed Persons aged 15 years and over,2011Q1,15 years and over,Female,117.8
Unemployed Persons aged 15 years and over,2011Q1,20 - 24 years,Both sexes,58.2
Unemployed Persons aged 15 years and over,2011Q1,20 - 24 years,Male,38.8
Unemployed Persons aged 15 years and over,2011Q1,20 - 24 years,Female,19.4
Unemployed Persons aged 15 years and over,2011Q1,25 - 34 years,Both sexes,106.1
