Statistic,Quarter,Permanency of Employment,NACE Rev 2 Economic Sector,value
Employees aged 15 years and over in Employment (ILO),2023Q2,Temporary employees,All NACE economic sectors,200.6
Employees aged 15 years and over in Employment (ILO),2023Q2,Temporary employees,"Agriculture, forestry and fishing (A)",
Employees aged 15 years and over in Employment (ILO),2023Q2,Temporary employees,Construction (F),7.5
Employees aged 15 years and over in Employment (ILO),2023Q2,Temporary employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),31.4
Employees aged 15 years and over in Employment (ILO),2023Q2,Temporary employees,Transportation and storage (H),
Employees aged 15 years and over in Employment (ILO),2023Q2,Temporary employees,Accommodation and food service activities (I),34.5
Employees aged 15 years and over in Employment (ILO),2023Q2,Temporary employees,Information and communication (J),6.7
Employees aged 15 years and over in Employment (ILO),2023Q2,Temporary employees,"Professional, scientific and technical activities (M)",6.5
Employees aged 15 years and over in Employment (ILO),2023Q2,Temporary employees,Administrative and support service activities (N),11.1
Employees aged 15 years and over in Employment (ILO),2023Q2,Temporary employees,Public administration and defence; compulsory social security (O),5.0
Employees aged 15 years and over in Employment (ILO),2023Q2,Temporary employees,Education (P),35.1
Employees aged 15 years and over in Employment (ILO),2023Q2,Temporary employees,Human health and social work activities (Q),23.7
Employees aged 15 years and over in Employment (ILO),2023Q2,Temporary employees,Industry (B to E),11.8
Employees aged 15 years and over in Employment (ILO),2023Q2,Temporary employees,"Financial, insurance and real estate activities (K, L)",
Employees aged 15 years and over in Employment (ILO),2023Q2,Temporary employees,Other NACE activities (R to U),12.5
Employees aged 15 years and over in Employment (ILO),2023Q2,Temporary employees,Industry and Construction (B to F),19.3
Employees aged 15 years and over in Employment (ILO),2023Q2,Temporary employees,Services (G to U),178.0
Employees aged 15 years and over in Employment (ILO),2023Q2,Temporary employees,Not stated,
Employees aged 15 years and over in Employment (ILO),2023Q2,Not stated,All NACE economic sectors,9.6
Employees aged 15 years and over in Employment (ILO),2023Q2,Not stated,"Agriculture, forestry and fishing (A)",
Employees aged 15 years and over in Employment (ILO),2023Q2,Not stated,Construction (F),
Employees aged 15 years and over in Employment (ILO),2023Q2,Not stated,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Employees aged 15 years and over in Employment (ILO),2023Q2,Not stated,Transportation and storage (H),
Employees aged 15 years and over in Employment (ILO),2023Q2,Not stated,Accommodation and food service activities (I),
Employees aged 15 years and over in Employment (ILO),2023Q2,Not stated,Information and communication (J),
Employees aged 15 years and over in Employment (ILO),2023Q2,Not stated,"Professional, scientific and technical activities (M)",
Employees aged 15 years and over in Employment (ILO),2023Q2,Not stated,Administrative and support service activities (N),
Employees aged 15 years and over in Employment (ILO),2023Q2,Not stated,Public administration and defence; compulsory social security (O),
Employees aged 15 years and over in Employment (ILO),2023Q2,Not stated,Education (P),
Employees aged 15 years and over in Employment (ILO),2023Q2,Not stated,Human health and social work activities (Q),
Employees aged 15 years and over in Employment (ILO),2023Q2,Not stated,Industry (B to E),
Employees aged 15 years and over in Employment (ILO),2023Q2,Not stated,"Financial, insurance and real estate activities (K, L)",
Employees aged 15 years and over in Employment (ILO),2023Q2,Not stated,Other NACE activities (R to U),
Employees aged 15 years and over in Employment (ILO),2023Q2,Not stated,Industry and Construction (B to F),
Employees aged 15 years and over in Employment (ILO),2023Q2,Not stated,Services (G to U),6.8
Employees aged 15 years and over in Employment (ILO),2023Q2,Not stated,Not stated,
Employees aged 15 years and over in Employment (ILO),2023Q3,All employees,All NACE economic sectors,2319.6
Employees aged 15 years and over in Employment (ILO),2023Q3,All employees,"Agriculture, forestry and fishing (A)",28.5
Employees aged 15 years and over in Employment (ILO),2023Q3,All employees,Construction (F),122.8
Employees aged 15 years and over in Employment (ILO),2023Q3,All employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),289.9
Employees aged 15 years and over in Employment (ILO),2023Q3,All employees,Transportation and storage (H),93.9
Employees aged 15 years and over in Employment (ILO),2023Q3,All employees,Accommodation and food service activities (I),169.9
Employees aged 15 years and over in Employment (ILO),2023Q3,All employees,Information and communication (J),162.2
Employees aged 15 years and over in Employment (ILO),2023Q3,All employees,"Professional, scientific and technical activities (M)",145.8
Employees aged 15 years and over in Employment (ILO),2023Q3,All employees,Administrative and support service activities (N),94.2
Employees aged 15 years and over in Employment (ILO),2023Q3,All employees,Public administration and defence; compulsory social security (O),135.7
Employees aged 15 years and over in Employment (ILO),2023Q3,All employees,Education (P),211.1
Employees aged 15 years and over in Employment (ILO),2023Q3,All employees,Human health and social work activities (Q),341.0
Employees aged 15 years and over in Employment (ILO),2023Q3,All employees,Industry (B to E),305.7
Employees aged 15 years and over in Employment (ILO),2023Q3,All employees,"Financial, insurance and real estate activities (K, L)",125.1
Employees aged 15 years and over in Employment (ILO),2023Q3,All employees,Other NACE activities (R to U),86.6
Employees aged 15 years and over in Employment (ILO),2023Q3,All employees,Industry and Construction (B to F),428.5
Employees aged 15 years and over in Employment (ILO),2023Q3,All employees,Services (G to U),1855.4
Employees aged 15 years and over in Employment (ILO),2023Q3,All employees,Not stated,7.2
Employees aged 15 years and over in Employment (ILO),2023Q3,Permanent employees,All NACE economic sectors,2097.0
Employees aged 15 years and over in Employment (ILO),2023Q3,Permanent employees,"Agriculture, forestry and fishing (A)",22.5
Employees aged 15 years and over in Employment (ILO),2023Q3,Permanent employees,Construction (F),115.1
Employees aged 15 years and over in Employment (ILO),2023Q3,Permanent employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),255.0
Employees aged 15 years and over in Employment (ILO),2023Q3,Permanent employees,Transportation and storage (H),88.5
Employees aged 15 years and over in Employment (ILO),2023Q3,Permanent employees,Accommodation and food service activities (I),127.3
Employees aged 15 years and over in Employment (ILO),2023Q3,Permanent employees,Information and communication (J),156.7
Employees aged 15 years and over in Employment (ILO),2023Q3,Permanent employees,"Professional, scientific and technical activities (M)",136.0
Employees aged 15 years and over in Employment (ILO),2023Q3,Permanent employees,Administrative and support service activities (N),81.1
Employees aged 15 years and over in Employment (ILO),2023Q3,Permanent employees,Public administration and defence; compulsory social security (O),129.9
Employees aged 15 years and over in Employment (ILO),2023Q3,Permanent employees,Education (P),179.8
Employees aged 15 years and over in Employment (ILO),2023Q3,Permanent employees,Human health and social work activities (Q),315.0
Employees aged 15 years and over in Employment (ILO),2023Q3,Permanent employees,Industry (B to E),292.4
Employees aged 15 years and over in Employment (ILO),2023Q3,Permanent employees,"Financial, insurance and real estate activities (K, L)",120.3
Employees aged 15 years and over in Employment (ILO),2023Q3,Permanent employees,Other NACE activities (R to U),72.1
Employees aged 15 years and over in Employment (ILO),2023Q3,Permanent employees,Industry and Construction (B to F),407.5
Employees aged 15 years and over in Employment (ILO),2023Q3,Permanent employees,Services (G to U),1661.8
Employees aged 15 years and over in Employment (ILO),2023Q3,Permanent employees,Not stated,
Employees aged 15 years and over in Employment (ILO),2023Q3,Temporary employees,All NACE economic sectors,207.0
Employees aged 15 years and over in Employment (ILO),2023Q3,Temporary employees,"Agriculture, forestry and fishing (A)",5.4
Employees aged 15 years and over in Employment (ILO),2023Q3,Temporary employees,Construction (F),7.2
Employees aged 15 years and over in Employment (ILO),2023Q3,Temporary employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),31.8
Employees aged 15 years and over in Employment (ILO),2023Q3,Temporary employees,Transportation and storage (H),5.3
Employees aged 15 years and over in Employment (ILO),2023Q3,Temporary employees,Accommodation and food service activities (I),40.7
Employees aged 15 years and over in Employment (ILO),2023Q3,Temporary employees,Information and communication (J),
Employees aged 15 years and over in Employment (ILO),2023Q3,Temporary employees,"Professional, scientific and technical activities (M)",9.3
Employees aged 15 years and over in Employment (ILO),2023Q3,Temporary employees,Administrative and support service activities (N),11.0
Employees aged 15 years and over in Employment (ILO),2023Q3,Temporary employees,Public administration and defence; compulsory social security (O),5.7
Employees aged 15 years and over in Employment (ILO),2023Q3,Temporary employees,Education (P),29.5
Employees aged 15 years and over in Employment (ILO),2023Q3,Temporary employees,Human health and social work activities (Q),24.3
Employees aged 15 years and over in Employment (ILO),2023Q3,Temporary employees,Industry (B to E),12.3
Employees aged 15 years and over in Employment (ILO),2023Q3,Temporary employees,"Financial, insurance and real estate activities (K, L)",
Employees aged 15 years and over in Employment (ILO),2023Q3,Temporary employees,Other NACE activities (R to U),13.8
