Statistic,Quarter,NUTS3 regions,Extent of working at home,value
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,Border,Person never works at home,78.4
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,Border,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,Border,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,Dublin,Person usually works at home,27.1
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,Dublin,Person sometimes works at home,15.2
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,Dublin,Person never works at home,57.2
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,Dublin,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,Dublin,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,Mid-East,Person usually works at home,22.3
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,Mid-East,Person sometimes works at home,13.5
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,Mid-East,Person never works at home,64.2
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,Mid-East,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,Mid-East,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,Midland,Person usually works at home,20.7
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,Midland,Person sometimes works at home,10.6
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,Midland,Person never works at home,68.2
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,Midland,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,Midland,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,Mid-West,Person usually works at home,18.0
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,Mid-West,Person sometimes works at home,12.8
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,Mid-West,Person never works at home,68.8
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,Mid-West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,Mid-West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,South-East,Person usually works at home,16.6
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,South-East,Person sometimes works at home,12.8
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,South-East,Person never works at home,70.2
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,South-East,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,South-East,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,South-West,Person usually works at home,19.9
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,South-West,Person sometimes works at home,13.2
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,South-West,Person never works at home,66.4
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,South-West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,South-West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,West,Person usually works at home,17.1
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,West,Person sometimes works at home,12.4
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,West,Person never works at home,70.3
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,Ireland,Person usually works at home,21.2
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,Ireland,Person sometimes works at home,13.2
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,Ireland,Person never works at home,65.3
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,Ireland,Not stated,0.4
Proportion of total persons aged 15 years and over in employment (ILO),2023Q1,Ireland,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,Border,Person usually works at home,14.7
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,Border,Person sometimes works at home,8.8
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,Border,Person never works at home,76.2
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,Border,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,Border,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,Dublin,Person usually works at home,26.3
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,Dublin,Person sometimes works at home,15.6
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,Dublin,Person never works at home,57.9
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,Dublin,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,Dublin,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,Mid-East,Person usually works at home,19.9
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,Mid-East,Person sometimes works at home,13.9
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,Mid-East,Person never works at home,66.1
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,Mid-East,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,Mid-East,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,Midland,Person usually works at home,18.5
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,Midland,Person sometimes works at home,12.2
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,Midland,Person never works at home,69.1
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,Midland,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,Midland,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,Mid-West,Person usually works at home,15.2
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,Mid-West,Person sometimes works at home,11.4
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,Mid-West,Person never works at home,73.2
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,Mid-West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,Mid-West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,South-East,Person usually works at home,16.0
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,South-East,Person sometimes works at home,12.9
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,South-East,Person never works at home,71.0
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,South-East,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,South-East,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,South-West,Person usually works at home,19.9
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,South-West,Person sometimes works at home,13.5
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,South-West,Person never works at home,66.0
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,South-West,Not stated,
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,South-West,All persons in employment,100.0
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,West,Person usually works at home,18.1
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,West,Person sometimes works at home,12.8
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,West,Person never works at home,69.1
Proportion of total persons aged 15 years and over in employment (ILO),2023Q2,West,Not stated,
