Statistic,Quarterly,Full and Part Time Status,NACE Rev 2 Economic Sector,value
Persons aged 15 years and over in Employment (ILO),2022Q4,Full-time,Human health and social work activities (Q),247.9
Persons aged 15 years and over in Employment (ILO),2022Q4,Full-time,Industry (B to E),305.0
Persons aged 15 years and over in Employment (ILO),2022Q4,Full-time,"Financial, insurance and real estate activities (K, L)",125.2
Persons aged 15 years and over in Employment (ILO),2022Q4,Full-time,Other NACE activities (R to U),68.9
Persons aged 15 years and over in Employment (ILO),2022Q4,Full-time,Industry and Construction (B to F),458.1
Persons aged 15 years and over in Employment (ILO),2022Q4,Full-time,Services (G to U),1512.6
Persons aged 15 years and over in Employment (ILO),2022Q4,Full-time,Not stated,6.9
Persons aged 15 years and over in Employment (ILO),2022Q4,Part-time,All NACE economic sectors,561.3
Persons aged 15 years and over in Employment (ILO),2022Q4,Part-time,"Agriculture, forestry and fishing (A)",25.8
Persons aged 15 years and over in Employment (ILO),2022Q4,Part-time,Construction (F),12.2
Persons aged 15 years and over in Employment (ILO),2022Q4,Part-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),113.5
Persons aged 15 years and over in Employment (ILO),2022Q4,Part-time,Transportation and storage (H),16.0
Persons aged 15 years and over in Employment (ILO),2022Q4,Part-time,Accommodation and food service activities (I),83.9
Persons aged 15 years and over in Employment (ILO),2022Q4,Part-time,Information and communication (J),7.7
Persons aged 15 years and over in Employment (ILO),2022Q4,Part-time,"Professional, scientific and technical activities (M)",26.7
Persons aged 15 years and over in Employment (ILO),2022Q4,Part-time,Administrative and support service activities (N),34.3
Persons aged 15 years and over in Employment (ILO),2022Q4,Part-time,Public administration and defence; compulsory social security (O),9.8
Persons aged 15 years and over in Employment (ILO),2022Q4,Part-time,Education (P),51.0
Persons aged 15 years and over in Employment (ILO),2022Q4,Part-time,Human health and social work activities (Q),96.0
Persons aged 15 years and over in Employment (ILO),2022Q4,Part-time,Industry (B to E),22.0
Persons aged 15 years and over in Employment (ILO),2022Q4,Part-time,"Financial, insurance and real estate activities (K, L)",10.6
Persons aged 15 years and over in Employment (ILO),2022Q4,Part-time,Other NACE activities (R to U),49.2
Persons aged 15 years and over in Employment (ILO),2022Q4,Part-time,Industry and Construction (B to F),34.2
Persons aged 15 years and over in Employment (ILO),2022Q4,Part-time,Services (G to U),498.8
Persons aged 15 years and over in Employment (ILO),2022Q4,Part-time,Not stated,
Persons aged 15 years and over in Employment (ILO),2023Q1,All employment status,All NACE economic sectors,2652.7
Persons aged 15 years and over in Employment (ILO),2023Q1,All employment status,"Agriculture, forestry and fishing (A)",102.0
Persons aged 15 years and over in Employment (ILO),2023Q1,All employment status,Construction (F),162.8
Persons aged 15 years and over in Employment (ILO),2023Q1,All employment status,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),334.3
Persons aged 15 years and over in Employment (ILO),2023Q1,All employment status,Transportation and storage (H),112.8
Persons aged 15 years and over in Employment (ILO),2023Q1,All employment status,Accommodation and food service activities (I),173.0
Persons aged 15 years and over in Employment (ILO),2023Q1,All employment status,Information and communication (J),172.3
Persons aged 15 years and over in Employment (ILO),2023Q1,All employment status,"Professional, scientific and technical activities (M)",170.4
Persons aged 15 years and over in Employment (ILO),2023Q1,All employment status,Administrative and support service activities (N),114.1
Persons aged 15 years and over in Employment (ILO),2023Q1,All employment status,Public administration and defence; compulsory social security (O),142.8
Persons aged 15 years and over in Employment (ILO),2023Q1,All employment status,Education (P),214.1
Persons aged 15 years and over in Employment (ILO),2023Q1,All employment status,Human health and social work activities (Q),356.1
Persons aged 15 years and over in Employment (ILO),2023Q1,All employment status,Industry (B to E),334.7
Persons aged 15 years and over in Employment (ILO),2023Q1,All employment status,"Financial, insurance and real estate activities (K, L)",135.0
Persons aged 15 years and over in Employment (ILO),2023Q1,All employment status,Other NACE activities (R to U),121.0
Persons aged 15 years and over in Employment (ILO),2023Q1,All employment status,Industry and Construction (B to F),497.4
Persons aged 15 years and over in Employment (ILO),2023Q1,All employment status,Services (G to U),2045.8
Persons aged 15 years and over in Employment (ILO),2023Q1,All employment status,Not stated,7.4
Persons aged 15 years and over in Employment (ILO),2023Q1,Full-time,All NACE economic sectors,2081.9
Persons aged 15 years and over in Employment (ILO),2023Q1,Full-time,"Agriculture, forestry and fishing (A)",74.7
Persons aged 15 years and over in Employment (ILO),2023Q1,Full-time,Construction (F),151.5
Persons aged 15 years and over in Employment (ILO),2023Q1,Full-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),217.9
Persons aged 15 years and over in Employment (ILO),2023Q1,Full-time,Transportation and storage (H),95.4
Persons aged 15 years and over in Employment (ILO),2023Q1,Full-time,Accommodation and food service activities (I),87.9
Persons aged 15 years and over in Employment (ILO),2023Q1,Full-time,Information and communication (J),163.0
Persons aged 15 years and over in Employment (ILO),2023Q1,Full-time,"Professional, scientific and technical activities (M)",147.2
Persons aged 15 years and over in Employment (ILO),2023Q1,Full-time,Administrative and support service activities (N),80.3
Persons aged 15 years and over in Employment (ILO),2023Q1,Full-time,Public administration and defence; compulsory social security (O),132.8
Persons aged 15 years and over in Employment (ILO),2023Q1,Full-time,Education (P),162.5
Persons aged 15 years and over in Employment (ILO),2023Q1,Full-time,Human health and social work activities (Q),255.4
Persons aged 15 years and over in Employment (ILO),2023Q1,Full-time,Industry (B to E),311.1
Persons aged 15 years and over in Employment (ILO),2023Q1,Full-time,"Financial, insurance and real estate activities (K, L)",124.2
Persons aged 15 years and over in Employment (ILO),2023Q1,Full-time,Other NACE activities (R to U),72.3
Persons aged 15 years and over in Employment (ILO),2023Q1,Full-time,Industry and Construction (B to F),462.6
Persons aged 15 years and over in Employment (ILO),2023Q1,Full-time,Services (G to U),1538.9
Persons aged 15 years and over in Employment (ILO),2023Q1,Full-time,Not stated,
Persons aged 15 years and over in Employment (ILO),2023Q1,Part-time,All NACE economic sectors,570.8
Persons aged 15 years and over in Employment (ILO),2023Q1,Part-time,"Agriculture, forestry and fishing (A)",27.3
Persons aged 15 years and over in Employment (ILO),2023Q1,Part-time,Construction (F),11.3
Persons aged 15 years and over in Employment (ILO),2023Q1,Part-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),116.4
Persons aged 15 years and over in Employment (ILO),2023Q1,Part-time,Transportation and storage (H),17.3
Persons aged 15 years and over in Employment (ILO),2023Q1,Part-time,Accommodation and food service activities (I),85.1
Persons aged 15 years and over in Employment (ILO),2023Q1,Part-time,Information and communication (J),9.3
Persons aged 15 years and over in Employment (ILO),2023Q1,Part-time,"Professional, scientific and technical activities (M)",23.1
Persons aged 15 years and over in Employment (ILO),2023Q1,Part-time,Administrative and support service activities (N),33.8
Persons aged 15 years and over in Employment (ILO),2023Q1,Part-time,Public administration and defence; compulsory social security (O),10.0
Persons aged 15 years and over in Employment (ILO),2023Q1,Part-time,Education (P),51.6
Persons aged 15 years and over in Employment (ILO),2023Q1,Part-time,Human health and social work activities (Q),100.7
Persons aged 15 years and over in Employment (ILO),2023Q1,Part-time,Industry (B to E),23.6
Persons aged 15 years and over in Employment (ILO),2023Q1,Part-time,"Financial, insurance and real estate activities (K, L)",10.8
Persons aged 15 years and over in Employment (ILO),2023Q1,Part-time,Other NACE activities (R to U),48.7
Persons aged 15 years and over in Employment (ILO),2023Q1,Part-time,Industry and Construction (B to F),34.9
Persons aged 15 years and over in Employment (ILO),2023Q1,Part-time,Services (G to U),506.9
Persons aged 15 years and over in Employment (ILO),2023Q1,Part-time,Not stated,
Persons aged 15 years and over in Employment (ILO),2023Q2,All employment status,All NACE economic sectors,2682.7
Persons aged 15 years and over in Employment (ILO),2023Q2,All employment status,"Agriculture, forestry and fishing (A)",101.9
Persons aged 15 years and over in Employment (ILO),2023Q2,All employment status,Construction (F),172.4
Persons aged 15 years and over in Employment (ILO),2023Q2,All employment status,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),339.5
Persons aged 15 years and over in Employment (ILO),2023Q2,All employment status,Transportation and storage (H),116.9
Persons aged 15 years and over in Employment (ILO),2023Q2,All employment status,Accommodation and food service activities (I),178.2
Persons aged 15 years and over in Employment (ILO),2023Q2,All employment status,Information and communication (J),175.8
Persons aged 15 years and over in Employment (ILO),2023Q2,All employment status,"Professional, scientific and technical activities (M)",178.2
Persons aged 15 years and over in Employment (ILO),2023Q2,All employment status,Administrative and support service activities (N),112.3
Persons aged 15 years and over in Employment (ILO),2023Q2,All employment status,Public administration and defence; compulsory social security (O),144.7
Persons aged 15 years and over in Employment (ILO),2023Q2,All employment status,Education (P),221.4
Persons aged 15 years and over in Employment (ILO),2023Q2,All employment status,Human health and social work activities (Q),358.0
Persons aged 15 years and over in Employment (ILO),2023Q2,All employment status,Industry (B to E),320.7
Persons aged 15 years and over in Employment (ILO),2023Q2,All employment status,"Financial, insurance and real estate activities (K, L)",139.1
Persons aged 15 years and over in Employment (ILO),2023Q2,All employment status,Other NACE activities (R to U),119.1
Persons aged 15 years and over in Employment (ILO),2023Q2,All employment status,Industry and Construction (B to F),493.1
Persons aged 15 years and over in Employment (ILO),2023Q2,All employment status,Services (G to U),2083.1
Persons aged 15 years and over in Employment (ILO),2023Q2,All employment status,Not stated,
